commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt3
348615be62cd0823cdcbd470bca76ea65541e0f4,1572020533,"build: update to @bazel/bazel 1.0.0 (#33367)

Also removes `build:remote --spawn_strategy=remote` from .bazelrc. It seems that with Bazel 1.0.0 setting `--incompatible_list_based_execution_strategy_selection=false` no longer works around the issue with npm_package that it did when it was added. The error that was originally observed has returned after updating to Bazel 1.0.0:

```
ERROR: /home/circleci/ng/packages/angular_devkit/build_optimizer/BUILD:66:1: Assembling npm package packages/angular_devkit/build_optimizer/npm_package failed: No usable spawn strategy found for spawn with mnemonic Action. Your --spawn_strategy, --genrule_strategy or --strategy flags are probably too strict. Visit https://github.com/bazelbuild/bazel/issues/7480 for migration advice
```

This commit removes both `—incompatible_list_based_execution_strategy_selection=false` as well as `build:remote --spawn_strategy=remote` which means that Bazel will do the default behavior of picking the first available strategy from the default list, which is `remote,worker,sandboxed,local`. See https://github.com/bazelbuild/bazel/issues/7480 for more details.

PR Close #33367
",['packages/bazel/package.bzl'],"When updating to Bazel 1.0.0, an error was observed with the npm package related to the build optimizer. Previously, setting `--incompatible_list_based_execution_strategy_selection=false` was a workaround for this issue, but it no longer works with the updated version. The error, which had been temporarily resolved, has now resurfaced.

The error message that appeared after the Bazel update suggests that there is no usable spawn strategy found for the npm package. The commit removes both the `—incompatible_list_based_execution_strategy_selection=false` setting and the `build:remote --spawn_strategy=remote` from the .bazelrc file. This means that Bazel will now use the default behavior of selecting the first available strategy from the default list, which consists of `remote,worker,sandboxed,local`.

For more details, refer to the following link: [Link to issue](https://github.com/bazelbuild/bazel/issues/7480)"
6ceb9034dc99e5e9f791c988eda2cc9ce99bc2e1,1557867883,"fix(core): static-query migration errors not printed properly (#30458)

Apparently the devkit logger is not able to properly print
out error objects, so we need to convert them to a string
before in order to make the error visible to the user.

This is not testable without an e2e test that validates the CLI
terminal output.

PR Close #30458
",['packages/core/schematics/migrations/static-queries/index.ts'],"When there are errors during the static-query migration process, they are not being printed properly using the devkit logger. In order to make the error visible to the user, the error objects need to be converted to strings. An e2e test is needed to validate the CLI terminal output for this fix."
96b7fe93af361a1cf2ea5477970f64ba6f3d8cd5,1665504181,"fix(forms): call `setDisabledState` on `ControlValueAcessor` when control is enabled (#47576)

Previously, `setDisabledState` was never called when attached if the control is enabled. This PR fixes the bug, and creates a configuration option to opt-out of the fix.

Fixes #35309.

BREAKING CHANGE: setDisabledState will always be called when a `ControlValueAccessor` is attached. You can opt-out with `FormsModule.withConfig` or `ReactiveFormsModule.withConfig`.

PR Close #47576
","['.circleci/env.sh', 'packages/forms/src/directives.ts', 'packages/forms/src/directives/ng_form.ts', 'packages/forms/src/directives/ng_model.ts', 'packages/forms/src/directives/reactive_directives/form_control_directive.ts', 'packages/forms/src/directives/reactive_directives/form_group_directive.ts', 'packages/forms/src/directives/shared.ts', 'packages/forms/src/form_providers.ts', 'packages/forms/src/forms.ts', 'packages/forms/test/value_accessor_integration_spec.ts']","Previously, the `setDisabledState` function was not being called when a control is enabled, causing a bug. This commit fixes the issue by ensuring that `setDisabledState` is always called when a `ControlValueAccessor` is attached. Additionally, a new configuration option is introduced to allow opting out of this fix. 

This change is a breaking change, as it modifies the behavior of `setDisabledState`. To opt-out of the fix, you can use either `FormsModule.withConfig` or `ReactiveFormsModule.withConfig`. 

Fixes issue #35309."
8d3da56eda12070df1fb473c8609f3a94d77bfd6,1616523784,"fix(ngcc): detect synthesized constructors that have been downleveled using TS 4.2 (#41305)

TypeScript 4.2 has changed its emitted syntax for synthetic constructors
when using `downlevelIteration`, which affects ES5 bundles that have
been downleveled from ES2015 bundles. This is typically the case for UMD
bundles in the APF spec, as they are generated by downleveling the
ESM2015 bundle into ES5. ngcc needs to detect the new syntax in order to
correctly identify synthesized constructor functions in ES5 bundles.

Fixes #41298

PR Close #41305
","['packages/compiler-cli/ngcc/src/host/esm5_host.ts', 'packages/compiler-cli/ngcc/test/host/commonjs_host_spec.ts', 'packages/compiler-cli/ngcc/test/host/esm5_host_spec.ts', 'packages/compiler-cli/ngcc/test/host/umd_host_spec.ts', 'packages/compiler-cli/ngcc/test/integration/ngcc_spec.ts']","The change in TypeScript 4.2's emitted syntax for synthetic constructors when using `downlevelIteration` can impact ES5 bundles that have been downleveled from ES2015 bundles. This change specifically affects UMD bundles in the APF spec, which are generated by downleveling the ESM2015 bundle into ES5. As a result, ngcc needs to be able to detect the new syntax in order to accurately identify synthesized constructor functions in ES5 bundles."
f7471eea3c09dff38c57acf0286cd01b455243e8,1567107482,"fix(ngcc): handle compilation diagnostics (#31996)

Previously, any diagnostics reported during the compilation of an
entry-point would not be shown to the user, but either be ignored or
cause a hard crash in case of a `FatalDiagnosticError`. This is
unfortunate, as such error instances contain information on which code
was responsible for producing the error, whereas only its error message
would not. Therefore, it was quite hard to determine where the error
originates from.

This commit introduces behavior to deal with error diagnostics in a more
graceful way. Such diagnostics will still cause the compilation to fail,
however the error message now contains formatted diagnostics.

Closes #31977
Resolves FW-1374

PR Close #31996
","['packages/compiler-cli/ngcc/src/analysis/decoration_analyzer.ts', 'packages/compiler-cli/ngcc/src/analysis/util.ts', 'packages/compiler-cli/ngcc/src/main.ts', 'packages/compiler-cli/ngcc/src/packages/transformer.ts', 'packages/compiler-cli/ngcc/test/integration/ngcc_spec.ts']","Previously, diagnostics reported during the compilation of an entry-point were not being shown to the user. This made it difficult to determine the origin of the error, as only the error message was displayed without any information on the code responsible for the error. This commit introduces a more graceful way of handling error diagnostics, where the compilation still fails but the error message now includes formatted diagnostics."
eda09e69eae9513d368d7e4b2838b03ac2b3479a,1558112146,"fix(ivy): ngtsc - do not wrap arguments unnecessarily (#30349)

Previously we defensively wrapped expressions in case they ran afoul of
precedence rules. For example, it would be easy to create the TS AST structure
Call(Ternary(a, b, c)), but might result in printed code of:

```
a ? b : c()
```

Whereas the actual structure we meant to generate is:

```
(a ? b : c)()
```

However the TypeScript renderer appears to be clever enough to provide
parenthesis as necessary.

This commit removes these defensive paraenthesis in the cases of binary
and ternary operations.

FW-1273

PR Close #30349
","['packages/compiler-cli/src/ngtsc/translator/src/translator.ts', 'packages/compiler-cli/test/compliance/r3_compiler_compliance_spec.ts', 'packages/compiler-cli/test/compliance/r3_view_compiler_i18n_spec.ts', 'packages/compiler-cli/test/compliance/r3_view_compiler_listener_spec.ts', 'packages/compiler-cli/test/ngtsc/ngtsc_spec.ts', 'packages/compiler-cli/test/ngtsc/template_mapping_spec.ts']","Defensive parenthesis were previously used to wrap expressions in case they violated precedence rules, but this resulted in unnecessary wrapping of arguments. The TypeScript renderer is capable of providing the necessary parenthesis, so this commit removes the unnecessary defensive parenthesis for binary and ternary operations."
a33d630a219d871c0ca32534c094920f312561c6,1600360339,"fix(zone.js): should have better backward compatibilities (#38797)

Close #38561, #38669

zone.js 0.11.1 introduces a breaking change to adpat Angular package format,
and it breaks the module loading order, before 0.11, in IE11, the `zone.js` es5
format bundle will be imported, but after 0.11, the `fesm2015` format bundle will
be imported, which causes error.

And since the only purpose of the `dist` folder of zone.js bundles is to keep backward
 compatibility, in the original commit, I use package redirect to implement that, but
it is not fully backward compatible, we should keep the same dist structure as `0.10.3`.

PR Close #38797
","['packages/zone.js/dist/tools.bzl', 'packages/zone.js/test/npm_package/npm_package.spec.ts']","Zone.js version 0.11.1 introduces a breaking change that affects the compatibility with Angular package format. Specifically, it disrupts the module loading order. In IE11, before version 0.11, the `zone.js` ES5 format bundle was imported, but after version 0.11, the `fesm2015` format bundle is imported, causing errors.

To address this problem and maintain backward compatibility, a package redirect was implemented in the `dist` folder of the zone.js bundles. However, this solution was not fully backward compatible. It is necessary to maintain the same `dist` structure as version 0.10.3.

Issue references: #38561, #38669
Pull request: #38797"
ffea31f433c1f71b78a2245d52d2969503db1784,1618286606,"perf(compiler-cli): allow incremental compilation in the presence of redirected source files (#41448)

When multiple occurrences of the same package exist within a single
TypeScript compilation unit, TypeScript deduplicates the source files
by introducing redirected source file proxies. Such proxies are
recreated during an incremental compilation even if the original
declaration file did not change, which caused the compiler not to reuse
any work from the prior compilation.

This commit changes the incremental driver to recognize a redirected
source file and treat them as their unredirected source file.

PR Close #41448
","['packages/compiler-cli/src/ngtsc/incremental/src/state.ts', 'packages/compiler-cli/src/ngtsc/program_driver/src/ts_create_program_driver.ts', 'packages/compiler-cli/src/ngtsc/util/src/typescript.ts', 'packages/compiler-cli/test/ngtsc/incremental_spec.ts']","When multiple occurrences of the same package exist within a TypeScript compilation unit, TypeScript deduplicates the source files by introducing redirected source file proxies. However, during an incremental compilation, the proxies were being recreated even if the original declaration file did not change. This led to the compiler not reusing any work from the prior compilation. As a result, this commit modifies the incremental driver to recognize redirected source files and treat them as their unredirected source files."
ddb95c51844c5d8aee2187712ba948e41baaf0aa,1661190050,"refactor(compiler): replace most usages of getMutableClone (#47167)

Replaces (almost) all of the usages of the deprecated `getMutableClone` function from TypeScript which has started to log deprecation warnings in version 4.8 and will likely be removed in version 5.0. The one place we have left is in the default import handling of ngtsc which will be more difficult to remove.

PR Close #47167
","['packages/compiler-cli/src/ngtsc/annotations/common/src/metadata.ts', 'packages/compiler-cli/src/ngtsc/imports/src/default.ts', 'packages/compiler-cli/src/ngtsc/reflection/src/type_to_value.ts', 'packages/compiler-cli/src/ngtsc/ts_compatibility/src/ts_cross_version_utils.ts', 'packages/compiler-cli/src/ngtsc/typecheck/src/type_check_block.ts', 'packages/compiler-cli/src/ngtsc/typecheck/src/type_emitter.ts', 'packages/compiler-cli/src/ngtsc/util/src/visitor.ts', 'packages/compiler-cli/src/transformers/downlevel_decorators_transform/downlevel_decorators_transform.ts', 'packages/compiler-cli/test/downlevel_decorators_transform_spec.ts']","The usage of the deprecated `getMutableClone` function from TypeScript may result in deprecation warnings starting from version 4.8 and potential removal in version 5.0. Most of the usages of this function have been replaced, with the exception of the default import handling in ngtsc, which poses a greater challenge to remove."
6910118b0d82255be60a8580957383d227bcd58e,1618846723,"test(zone.js): should invoke XHR task even onload handler throw error. (#41562)

Close #41520.

This case related to the issue #41522.

```
Zone.root
  .fork({
    name: 'xhr',
    onHasTask(delegate, currentZone, zone, taskState) {
      console.log('hasMacrotask', taskState.macroTask);
      return delegate.hasTask(zone, taskState);
    },
  })
  .run(() => {
    const xhr = new XMLHttpRequest();
    xhr.open('GET', 'https://cdnjs.cloudflare.com/ajax/libs/zone.js/0.11.4/zone.min.js');
    xhr.addEventListener('load', () => {
      throw new Error();
    });
    xhr.send();
  });
```

zone.js invoke all `onload` event handlers before change the XHR task's state from
`scheduled` to `notscheduled`, so if any `onload` listener throw error, the XHR task
wlll be hang to `scheduled`, and leave the macroTask status in the zone wrongly.

This has been fixed in the previous commit, this commit add test to verify the case.

PR Close #41562
",['packages/zone.js/test/browser/XMLHttpRequest.spec.ts'],"When an `onload` event listener throws an error, the XHR task remains in the `scheduled` state and the macroTask status in the zone is incorrect. This can cause the XHR task to hang indefinitely. This issue has been fixed in a previous commit, and this commit adds a test case to verify the fix."
