commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
27eaded62dbe059fc9ac02cfa7f53ccf8aebccbf,1669931010,"fix(compiler-cli): Produce diagnostic rather than crash when using invalid hostDirective (#48314)

Because the language service uses the compiler, we try to produce as
much useful information as possible rather than throwing hard errors.
Hard errors cause the compiler to crash. While this can be acceptable
when compiling a program as part of a regular build, this is undesirable
for the language service.

PR Close #48314
","['packages/compiler-cli/src/ngtsc/metadata/src/host_directives_resolver.ts', 'packages/compiler-cli/src/ngtsc/metadata/src/inheritance.ts', 'packages/compiler-cli/src/ngtsc/scope/src/typecheck.ts', 'packages/compiler-cli/test/ngtsc/host_directives_spec.ts']","Invalid hostDirective causes the compiler to crash instead of producing useful information, adversely affecting the language service."
ca677481a2ac3675b84698e2d16fd379e1799e2c,1586551995,"fix(core): undecorated-classes-with-decorated-fields migration should avoid error if base class has no value declaration (#36543)

The undecorated-classes-with-decorated-fields migration relies on
the type checker to resolve base classes of individual classes.

It could happen that resolved base classes have no value declaration.
e.g. if they are declared through an interface in the default types.
Currently the migration will throw in such situations because it assumes
that `ts.Symbol#valueDeclaration` is always present. This is not the
case, but we don't get good type-checking here due to a bug in the
TypeScript types. See:
https://github.com/microsoft/TypeScript/issues/24706.

Fixes #36522.

PR Close #36543
","['packages/core/schematics/test/undecorated_classes_with_decorated_fields_migration_spec.ts', 'packages/core/schematics/utils/typescript/find_base_classes.ts']","Undecorated-classes-with-decorated-fields migration crashes when attempting to resolve base classes without value declarations, especially when declared through an interface in default types."
69d4ebffa9ec0862b93b5b7e27ab4506e5c39a09,1626976877,"Revert ""fix(dev-infra): perform actual npm login verification for wombot proxy (#42871)"" (#42917)

This reverts commit fd92a3e87f08253ac8d20d01bc726c7460bd9ec9.

It turns out that wombot proxy will return who is logged in, but does so regardless of
if the users token is currently active.  Since we cannot rely on `npm whoami` to
determine the login state, we revert to our previous state of assuming new login is
needed.

PR Close #42917
","['dev-infra/ng-dev.js', 'dev-infra/release/publish/index.ts']","The `npm whoami` command in wombot proxy returns active user regardless of token validity, thus failing to correctly determine the login state."
6650d71fe2a958d277e7a7f409251fe648236a76,1602516766,"test(compiler-cli): make the `getDeclaration()` utility more resilient to code format (#38959)

Previously `getDeclaration()` would only return the first node that matched
the name passed in and then assert the predicate on this single node.
It also only considered a subset of possible declaration types that we might
care about.

Now the function will parse the whole tree collecting an array of all the
nodes that match the name. It then filters this array based on the predicate
and only errors if the filtered array is empty.

This makes this function much more resilient to more esoteric code formats
such as UMD.

PR Close #38959
","['packages/compiler-cli/ngcc/test/host/esm2015_host_spec.ts', 'packages/compiler-cli/src/ngtsc/testing/src/utils.ts']","The `getDeclaration()` utility is not resilient to different code formats, failing to parse certain types of declarations and only considering a subset of possible declaration types."
7180ec9e7c3e33c1acfba1f40190d2de804c062e,1623689877,"fix(forms): changes to status not always being emitted to statusChanges observable for async validators. (#42553)

When a FormControl, FormArray, or FormGroup is first constructed, if an async validator is attached, the `statusChanges` observable should receive a message when the validator complete (i.e. pending -> valid/invalid). If the validator was provided as part of the constructor options, it was not fired at construction time, which is fixed in this PR.

Fixes #35309.

PR Close #42553
","['packages/forms/src/model.ts', 'packages/forms/test/form_array_spec.ts', 'packages/forms/test/form_control_spec.ts', 'packages/forms/test/form_group_spec.ts']","`statusChanges` observable not receiving updates on status changes when async validator is provided at the construction of FormControl, FormArray, or FormGroup."
2003caf4b74bfc023252960daec5212bdfd696a0,1697474119,"fix(core): handle if alias in control flow migration (#52181)

This adds the support of `if ` conditions with `as` clause when migrating to the control flow syntax.
It now adds the required semicolon before the `as` when migrating the template.

Before: `@if (user$ | async as user) {`
After: `@if (user$ | async; as user) {`

PR Close #52181
","['packages/core/schematics/ng-generate/control-flow-migration/util.ts', 'packages/core/schematics/test/control_flow_migration_spec.ts']","The migration to the control flow syntax does not correctly handle `if` conditions with `as` clause, resulting in syntax errors."
58cdc2279152a07df3086efc354ac18b031e5e5e,1578524856,"fix(ngcc): handle UMD factories that do not use all params (#34660)

In some cases, where a module imports a dependency
but does not actually use it, UMD bundlers may remove
the dependency parameter from the UMD factory function
definition.

For example:

```
import * as x from 'x';
import * as z from 'z';
export const y = x;
```

may result in a UMD bundle including:

```
(function (global, factory) {
    typeof exports === 'object' && typeof module !== 'undefined' ?
        factory(exports, require('x'), require('z')) :
    typeof define === 'function' && define.amd ?
        define(['exports', 'x', 'z'], factory) :
    (global = global || self, factory(global.myBundle = {}, global.x));
}(this, (function (exports, x) { 'use strict';
...
})));
```

Note that while the `z` dependency is provide in the call,
the factory itself only accepts `exports` and `x` as parameters.

Previously ngcc appended new dependencies to the end of the factory
function, but this breaks in the above scenario. Now the new
dependencies are prefixed at the front of parameters/arguments
already in place.

Fixes #34653

PR Close #34660
","['packages/compiler-cli/ngcc/src/rendering/umd_rendering_formatter.ts', 'packages/compiler-cli/ngcc/test/rendering/umd_rendering_formatter_spec.ts']",UMD bundlers removing unused dependencies from UMD factory function definitions breaks ngcc's logic when new dependencies are being appended to the factory function.
a99aa2904070a0543e84ba51115f2118319d18d2,1618515952,"fix(animations): allow animations on elements in the shadow DOM (#40134)

When determining whether to run an animation, the `TransitionAnimationPlayer`
checks to see if a DOM element is attached to the document. This is done by
checking to see if the element is ""contained"" by the document body node.

Previously, if the element was inside a shadow DOM, the engine would
determine that the element was not attached, even if the shadow DOM's
host was attached to the document. This commit updates the `containsElement()`
method on `AnimationDriver` implementations to also include shadow DOM
elements as being contained if their shadow host element is contained.

Further, when using CSS keyframes to trigger animations, the styling
was always added to the `head` element of the document, even for
animations on elements within a shadow DOM. This meant that those
elements never receive those styles and the animation would not run.
This commit updates the insertion of these styles so that they are added,
to the element's ""root node"", which is the nearest shadow DOM host, or the
`head` of the document if the element is not in a shadow DOM.

Closes #25672

PR Close #40134
","['packages/animations/browser/src/render/css_keyframes/css_keyframes_driver.ts', 'packages/animations/browser/src/render/shared.ts', 'packages/animations/browser/test/render/css_keyframes/css_keyframes_driver_spec.ts', 'packages/animations/browser/test/render/web_animations/web_animations_driver_spec.ts', 'packages/core/test/linker/projection_integration_spec.ts']",Animations are not being applied to elements within the Shadow DOM as they're incorrectly determined to be not attached to the document and CSS keyframes are wrongly added to the head of the document.
327980bf4964c948e4d53aa3d0262a2e8320d6af,1589993015,"fix(elements): correctly handle getting/setting properties before connecting the element (#36114)

`createCustomElements()` creates some getters/setters for properties
corresponding to component inputs that delegate to the
`NgElementStrategy`. However, it is not guaranteed that the element's
`NgElementStrategy` will have been created when these getters/setters
are called, because some polyfills (e.g. `document-register-element`) do
not call the constructor.

Previously, trying to get/set input properties before connecting the
element to the DOM (via `connectedCallback()`) would fail due to
`NgElementStrategy` not being created.

This commit ensures that the `NgElementStrategy` is always created
before used inside the input property getters/setters (similar to how it
is done for other methods of `NgElement`).

Mentioned in https://github.com/angular/angular/pull/31416/files#r300326698.

PR Close #36114
","['packages/elements/src/create-custom-element.ts', 'packages/elements/test/create-custom-element_spec.ts']","When using `createCustomElements()`, getters/setters for properties are called before the `NgElementStrategy` is created, causing failures when getting/setting input properties before connecting the element to the DOM."
c0d56840782aa93fc447e5fc02d25f0ad7eed827,1565388757,"fix: do not allow `squash! ` commits when merging (#32023)

While `fixup! ` is fine, `squash! ` means that the commit message needs
tweaking, which cannot be done automatically during merging (i.e. it
should be done by the PR author).

Previously, `validate-commit-message` would always allow
`squash! `-prefixed commits, which would cause problems during merging.

This commit changes `validate-commit-message` to make it configurable
whether such commits are allowed and configures the
`gulp validate-commit-message` task, which is run as part of the `lint`
job on CI, to not allow them.

NOTE: This new check is disabled in the pre-commit git hook that is used
      to validate commit messages, because these commits might still be
      useful during development.

PR Close #32023
","['tools/gulp-tasks/validate-commit-message.js', 'tools/validate-commit-message/validate-commit-message.js', 'tools/validate-commit-message/validate-commit-message.spec.js']",`Squash!`-prefixed commits are causing issues during the merging process due to their need for manual tweaking of commit messages.
