commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt3
07a31599c3f5b23158f83988ebc05381a1e86b00,1664217249,"KAFKA-10199: Fix switching to updating standbys if standby is removed (#12687)

When the state updater only contains standby tasks and then a
standby task is removed, an IllegalStateException is thrown
because the changelog reader does not allow to switch to standby
updating mode more than once in a row.

This commit fixes this bug by checking that the removed task is
an active one before trying to switch to standby updating mode.
If the task to remove is a standby task then either we are already
in standby updating mode and we should not switch to it again or
we are not in standby updating mode which implies that there are
still active tasks that would prevent us to switch to standby
updating mode.

Reviewer: Guozhang Wang <wangguoz@gmail.com>","['streams/src/main/java/org/apache/kafka/streams/processor/internals/DefaultStateUpdater.java', 'streams/src/test/java/org/apache/kafka/streams/processor/internals/DefaultStateUpdaterTest.java']","When the state updater only contains standby tasks and one of these standby tasks is removed, an ""IllegalStateException"" is thrown. This happens because the changelog reader does not allow switching to standby updating mode more than once consecutively."
fb77da941ac2a34513cf2cd5d11137ba9b275575,1631102228,"KAFKA-12766 - Disabling WAL-related Options in RocksDB (#11250)

Description
Streams disables the write-ahead log (WAL) provided by RocksDB since it replicates the data in changelog topics. Hence, it does not make much sense to set WAL-related configs for RocksDB.

Proposed solution
Ignore any WAL-related configuration and state in the log that we are ignoring them.

Co-authored-by: Tomer Wizman <tomer.wizman@personetics.com>
Co-authored-by: Bruno Cadonna <cadonna@apache.org>

Reviewers: Boyang Chen <boyang@apache.org>, Bruno Cadonna <cadonna@apache.org>","['streams/src/main/java/org/apache/kafka/streams/state/internals/RocksDBGenericOptionsToDbOptionsColumnFamilyOptionsAdapter.java', 'streams/src/test/java/org/apache/kafka/streams/state/internals/RocksDBGenericOptionsToDbOptionsColumnFamilyOptionsAdapterTest.java']","Streams currently disable the write-ahead log (WAL) offered by RocksDB as it mirrors the data in changelog topics, making it redundant to set WAL-related configurations for RocksDB."
1d496a26c998cefc77223a7575980208620dfe2d,1575593843,"KAFKA-9179; Fix flaky test due to race condition when fetching reassignment state (#7786)

This patch fixes a race condition on reassignment completion. The previous code fetched metadata first and then fetched the reassignment state. It is possible in between those times for the reassignment to complete, which leads to spurious URPs being reported. The fix here is to change the order of these checks and to explicitly check for reassignment completion. 

Note this patch fixes the flaky test `TopicCommandWithAdminClientTest.testDescribeUnderReplicatedPartitionsWhenReassignmentIsInProgress`.

Reviewers: Guozhang Wang <wangguoz@gmail.com>","['core/src/main/scala/kafka/admin/TopicCommand.scala', 'core/src/test/scala/unit/kafka/admin/TopicCommandWithAdminClientTest.scala']","A race condition is observed when fetching reassignment state that leads to the failing of the test `TopicCommandWithAdminClientTest.testDescribeUnderReplicatedPartitionsWhenReassignmentIsInProgress`. This issue arises due to the ordering of how metadata and reassignment states are fetched. If a reassignment completes in the time between fetching metadata and fetching reassignment state, spurious URPs get reported."
acf39fe94ad6a666e7ddd88dbcc6ddf5173fe56c,1612558664,"MINOR: Allow KafkaApis to be configured for Raft controller quorums (#10045)

`KafkaApis` is configured differently when it is used in a broker with a Raft-based controller quorum vs. a ZooKeeper quorum.  For example, when using Raft, `ForwardingManager` is required rather than optional, and there is no `AdminManager`, `KafkaController`, or `KafkaZkClient`.  This PR introduces `MetadataSupport` to abstract the two possibilities: `ZkSupport` and `RaftSupport`.  This provides a fluent way to decide what to do based on the type of support that `KafkaApis` has been configured with.  Certain types of requests are not supported when using raft (`AlterIsrRequest`, `UpdateMetadataRequest`, etc.), and `MetadataSupport` gives us an intuitive way to identify the constraints and requirements associated with the different configurations and react accordingly.

Existing tests are sufficient to detect bugs and regressions.

Reviewers: José Armando García Sancio <jsancio@gmail.com>, Jason Gustafson <jason@confluent.io>","['core/src/main/scala/kafka/server/KafkaApis.scala', 'core/src/main/scala/kafka/server/KafkaServer.scala', 'core/src/main/scala/kafka/server/MetadataSupport.scala', 'core/src/test/scala/unit/kafka/server/KafkaApisTest.scala', 'jmh-benchmarks/src/main/java/org/apache/kafka/jmh/metadata/MetadataRequestBenchmark.java']","When `KafkaApis` is being used in a broker with a Raft-based controller quorum as compared to a ZooKeeper quorum, it has different configuration requirements. It calls for a required `ForwardingManager` and lacks an `AdminManager`, `KafkaController`, or `KafkaZkClient`. Additionally, certain requests are not supported when using Raft such as `AlterIsrRequest` and `UpdateMetadataRequest`. The system needs a clear way to identify the constraints and requirements associated with the different configurations and react accordingly, as it currently struggles to distinguish between these two possibilities."
7e573001484427dc73d821cc232a4c3bb3b5f5bb,1632873016,"KAFKA-12486: Enforce Rebalance when a TaskCorruptedException is throw… (#11076)

This PR aims to utilize HighAvailabilityTaskAssignor to avoid downtime on corrupted tasks. The idea is that, when we hit TaskCorruptedException on an active task, a rebalance is triggered after we've wiped out the corrupted state stores. This will allow the assignor to temporarily redirect this task to another client who can resume work on the task while the original owner works on restoring the state from scratch.

Reviewers: Anna Sophie Blee-Goldman <ableegoldman@apache.org>","['streams/src/main/java/org/apache/kafka/streams/processor/internals/StreamThread.java', 'streams/src/main/java/org/apache/kafka/streams/processor/internals/TaskManager.java', 'streams/src/test/java/org/apache/kafka/streams/processor/internals/StreamThreadTest.java']","When a TaskCorruptedException is thrown on an active task, there is no mechanism in place to avoid downtime. The corrupted state stores need to be wiped and current system does not automatically trigger a rebalance. Without a rebalance, the task cannot be temporarily redirected to another client for uninterrupted work while the original task owner restores the state."
b35ca4349dabb199411cb6bc4c80ef89f19d9328,1613770567,"KAFKA-9274: Throw TaskCorruptedException instead of TimeoutException when TX commit times out (#10072)

Part of KIP-572: follow up work to PR #9800. It's not save to retry a TX commit after a timeout, because it's unclear if the commit was successful or not, and thus on retry we might get an IllegalStateException. Instead, we will throw a TaskCorruptedException to retry the TX if the commit failed.

Reviewers: A. Sophie Blee-Goldman <sophie@confluent.io>","['streams/src/main/java/org/apache/kafka/streams/errors/TaskCorruptedException.java', 'streams/src/main/java/org/apache/kafka/streams/errors/TaskTimeoutExceptions.java', 'streams/src/main/java/org/apache/kafka/streams/processor/internals/ProcessorStateManager.java', 'streams/src/main/java/org/apache/kafka/streams/processor/internals/RecordCollectorImpl.java', 'streams/src/main/java/org/apache/kafka/streams/processor/internals/StoreChangelogReader.java', 'streams/src/main/java/org/apache/kafka/streams/processor/internals/StreamTask.java', 'streams/src/main/java/org/apache/kafka/streams/processor/internals/StreamThread.java', 'streams/src/main/java/org/apache/kafka/streams/processor/internals/TaskManager.java', 'streams/src/test/java/org/apache/kafka/streams/processor/internals/ProcessorStateManagerTest.java', 'streams/src/test/java/org/apache/kafka/streams/processor/internals/StreamThreadTest.java', 'streams/src/test/java/org/apache/kafka/streams/processor/internals/TaskManagerTest.java']","'Retrying a transaction commit after a timeout can potentially be unsafe. There's a lack of clarity whether the commit was successful or not, which may result in an IllegalStateException when a retry is attempted. The current behavior is that a TimeoutException is thrown.'"
a03bda61e068d72823af47e5f25ffd12c3319541,1631567722,"KAFKA-13249: Always update changelog offsets before writing the checkpoint file (#11283)

When using EOS checkpointed offsets are not updated to the latest offsets from the changelog because the maybeWriteCheckpoint method is only ever called when commitNeeded=false. This change will force the update if enforceCheckpoint=true .

I have also added a test which verifies that both the state store and the checkpoint file are completely up to date with the changelog after the app has shutdown.

Reviewers: Anna Sophie Blee-Goldman <ableegoldman@apache.org>, Guozhang Wang <wangguoz@gmail.com>","['streams/src/main/java/org/apache/kafka/streams/processor/internals/StreamTask.java', 'streams/src/test/java/org/apache/kafka/streams/integration/EosIntegrationTest.java', 'streams/src/test/java/org/apache/kafka/streams/processor/internals/StreamTaskTest.java']","'When using exactly-once semantics (EOS), checkpointed offsets are not updated to the latest offsets from the changelog as the maybeWriteCheckpoint method is only called when commitNeeded=false. This could potentially result in out-of-sync state stores and checkpoint files, affecting reliable state recovery after the app has shut down.'"
43bcc5682da82a602a4c0a000dc7433d0507b450,1636033445,"KAFKA-13396: Allow create topic without partition/replicaFactor (#11429)

[KIP-464](https://cwiki.apache.org/confluence/display/KAFKA/KIP-464%3A+Defaults+for+AdminClient%23createTopic) (PR: https://github.com/apache/kafka/pull/6728)
made it possible to create topics without passing partition count and/or replica factor when using
the admin client. We incorrectly disallowed this via https://github.com/apache/kafka/pull/10457 while
trying to ensure validation was consistent between ZK and the admin client (in this case the
inconsistency was intentional).

Fix this regression and add tests for the command lines in quick start (i.e. create topic and describe
topic) to make sure it won't be broken in the future.

Reviewers: Lee Dongjin <dongjin@apache.org>, Ismael Juma <ismael@juma.me.uk>","['core/src/main/scala/kafka/admin/TopicCommand.scala', 'core/src/test/scala/unit/kafka/admin/TopicCommandTest.scala']",Creating a topic without passing the partition count and/or the replica factor using the admin client has been incorrectly disallowed due to an attempt to ensure validation consistency between ZK and the admin client. This inconsistency was originally intentional.
67e99a42361b8f0febc3e691488c668ebfe257e9,1646160917,"MINOR: Ensure LocalLog.flush is thread safe to recoveryPoint changes (#11814)

Issue:
Imagine a scenario where two threads T1 and T2 are inside UnifiedLog.flush() concurrently:

KafkaScheduler thread T1 -> The periodic work calls LogManager.flushDirtyLogs() which in turn calls UnifiedLog.flush(). For example, this can happen due to log.flush.scheduler.interval.ms here.
KafkaScheduler thread T2 -> A UnifiedLog.flush() call is triggered asynchronously during segment roll here.
Supposing if thread T1 advances the recovery point beyond the flush offset of thread T2, then this could trip the check within LogSegments.values() here for thread T2, when it is called from LocalLog.flush() here. The exception causes the KafkaScheduler thread to die, which is not desirable.

Fix:
We fix this by ensuring that LocalLog.flush() is immune to the case where the recoveryPoint advances beyond the flush offset.

Reviewers: Jun Rao <junrao@gmail.com>",['core/src/main/scala/kafka/log/LocalLog.scala'],"When two threads are inside UnifiedLog.flush() concurrently, an issue arises. For example, this could happen if a KafkaScheduler thread advances the recovery point beyond the flush offset of another thread. This could cause a check within LogSegments.values() to trip when it is called from LocalLog.flush(), resulting in an exception that causes the KafkaScheduler thread to die."
66d81a0e50680916f541703049dd4e911542b5ed,1565269282,"MINOR: Update dependencies for Kafka 2.4 (#7126)

Scala 2.12.9 brings another 5% ~ 10% improvement in compiler performance,
improved compatibility with JDK 11/12/13, and experimental infrastructure for
build pipelining.

zstd update includes performance improvements, among which the
primary improvement is that decompression is ~7% faster.

Level | v1.4.0 | v1.4.1 | Delta
-- | -- | -- | --
1 | 1390 MB/s | 1453 MB/s | +4.5%
3 | 1208 MB/s | 1301 MB/s | +7.6%
5 | 1129 MB/s | 1233 MB/s | +9.2%
7 | 1224 MB/s | 1347 MB/s | +10.0%
16 | 1278 MB/s | 1430 MB/s | +11.8%

Jetty 9.4.19 includes a number of bug fixes:
https://github.com/eclipse/jetty.project/releases/tag/jetty-9.4.19.v20190610

Mockito 3.0.0 switched the Java requirement from 7 to 8.

Several updates to owaspDepCheckPlugin (4.0.2 -> 5.2.1).

The rest are patch updates.

Reviewers: Rajini Sivaram <rajinisivaram@googlemail.com>","['bin/kafka-run-class.sh', 'bin/windows/kafka-run-class.bat']","The current dependencies for Kafka are outdated, causing sub-optimal compiler performance for Scala, slower than possible decompression speeds for zstd, potential bug occurrences due to using an older version of Jetty, inability to take advantage of features available in more recent versions of Mockito (which now requires Java 8), and missing updates and patches for the owaspDepCheckPlugin and other dependencies."
