commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
cca05cace4105c829f303c13eed8ace2efd7fa0c,1559940732,"KAFKA-8331: stream static membership system test (#6877)

As title suggested, we boost 3 stream instances stream job with one minute session timeout, and once the group is stable, doing couple of rolling bounces for the entire cluster. Every rejoin based on restart should have no generation bump on the client side.

Reviewers: Guozhang Wang <wangguoz@gmail.com>,  Bill Bejeck <bbejeck@gmail.com>","['clients/src/main/java/org/apache/kafka/clients/consumer/internals/AbstractCoordinator.java', 'clients/src/main/java/org/apache/kafka/clients/consumer/internals/ConsumerCoordinator.java', 'connect/runtime/src/main/java/org/apache/kafka/connect/runtime/distributed/WorkerCoordinator.java', 'streams/src/test/java/org/apache/kafka/streams/tests/StaticMemberTestClient.java', 'streams/src/test/java/org/apache/kafka/streams/tests/StreamsNamedRepartitionTest.java', 'tests/kafkatest/services/consumer_property.py', 'tests/kafkatest/services/streams.py', 'tests/kafkatest/services/streams_property.py', 'tests/kafkatest/tests/streams/streams_named_repartition_topic_test.py', 'tests/kafkatest/tests/streams/streams_optimized_test.py', 'tests/kafkatest/tests/streams/streams_static_membership_test.py', 'tests/kafkatest/tests/streams/streams_upgrade_test.py', 'tests/kafkatest/tests/streams/utils/__init__.py', 'tests/kafkatest/tests/streams/utils/util.py']",Rolling bounces on a stable group in a stream static membership system test leads to an unexpected generation bump on the client side.
aa4ba8eee8e6f52a9d80a98fb2530b5bcc1b9a11,1566077048,"KAFKA-8041: Enable producer retries in log dir failure test to address flakiness (#7200)

`testProduceAfterLogDirFailureOnLeader` currently disables producer retries in
order to catch and validate the exception thrown by a failure, and then tries to
produce successfully once the leadership changes. This second produce can
intermittently fail, causing test flakiness. This patch splits these validations
into two tests in order to allow retries for the produce request after the
leadership change.

Reviewers: Colin P. Mccabe <cmccabe@confluent.io>, Ismael Juma <ismael@juma.me.uk>",['core/src/test/scala/unit/kafka/server/LogDirFailureTest.scala'],"The `testProduceAfterLogDirFailureOnLeader` intermittently fails due to disallowed producer retries after a leadership change, causing flaky tests."
07c10024890c0761ba47ccd4d6301e8101d8c8de,1665625198,"KAFKA-12960: Enforcing strict retention time for WindowStore and Sess… (#11211)

WindowedStore and SessionStore do not implement a strict retention time in general. We should consider to make retention time strict: even if we still have some record in the store (due to the segmented implementation), we might want to filter expired records on-read. This might benefit PAPI users.

This PR, adds the filtering behaviour in the Metered store so that, it gets automatically applied for cases when a custom state store is implemented

Reviewer: Luke Chen <showuon@gmail.com>, A. Sophie Blee-Goldman <sophie@confluent.io>, Matthias J. Sax <mjsax@apache.org>","['streams/src/main/java/org/apache/kafka/streams/state/internals/AbstractDualSchemaRocksDBSegmentedBytesStore.java', 'streams/src/main/java/org/apache/kafka/streams/state/internals/AbstractRocksDBSegmentedBytesStore.java', 'streams/src/main/java/org/apache/kafka/streams/state/internals/AbstractRocksDBTimeOrderedSegmentedBytesStore.java', 'streams/src/main/java/org/apache/kafka/streams/state/internals/RocksDBSegmentedBytesStore.java', 'streams/src/main/java/org/apache/kafka/streams/state/internals/RocksDBTimestampedSegmentedBytesStore.java', 'streams/src/test/java/org/apache/kafka/streams/integration/TimeWindowedKStreamIntegrationTest.java', 'streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamSlidingWindowAggregateTest.java', 'streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamWindowAggregateTest.java', 'streams/src/test/java/org/apache/kafka/streams/kstream/internals/SessionWindowedKStreamImplTest.java', 'streams/src/test/java/org/apache/kafka/streams/kstream/internals/TimeWindowedKStreamImplTest.java', 'streams/src/test/java/org/apache/kafka/streams/state/internals/AbstractDualSchemaRocksDBSegmentedBytesStoreTest.java', 'streams/src/test/java/org/apache/kafka/streams/state/internals/AbstractRocksDBSegmentedBytesStoreTest.java', 'streams/src/test/java/org/apache/kafka/streams/state/internals/AbstractWindowBytesStoreTest.java', 'streams/src/test/java/org/apache/kafka/streams/state/internals/CachingPersistentWindowStoreTest.java', 'streams/src/test/java/org/apache/kafka/streams/state/internals/MeteredSessionStoreTest.java', 'streams/src/test/java/org/apache/kafka/streams/state/internals/MeteredTimestampedWindowStoreTest.java', 'streams/src/test/java/org/apache/kafka/streams/state/internals/MeteredWindowStoreTest.java', 'streams/src/test/java/org/apache/kafka/streams/state/internals/RocksDBSessionStoreTest.java', 'streams/src/test/java/org/apache/kafka/streams/state/internals/RocksDBWindowStoreTest.java']","WindowedStore and SessionStore don't strictly enforce retention time, causing potential issues with expired records for PAPI users, and hindering filtering on-read operations."
e903f2cd9646639cbada753a705b49fb903e1add,1675950790,"KAFKA-7109: Close fetch sessions on close of consumer (#12590)

## Problem
When consumer is closed, fetch sessions associated with the consumer should notify the server about it's intention to close using a Fetch call with epoch = -1 (identified by `FINAL_EPOCH` in `FetchMetadata.java`). However, we are not sending this final fetch request in the current flow which leads to unnecessary fetch sessions on the server which are closed only after timeout.

## Changes
1. Change `close()` in `Fetcher` to add a logic to send the final Fetch request notifying close to the server.
2. Change `close()` in `Consumer` to respect the timeout duration passed to it. Prior to this change, the timeout parameter was being ignored.
3. Change tests to close with `Duration.zero` to reduce the execution time of the tests. Otherwise the tests will wait for default timeout to exit (close() in the tests is expected to be unsuccessful because there is no server to send the request to).
4. Distinguish between the case of ""close existing session and create new session"" and ""close existing session"" by renaming the `nextCloseExisting` function to `nextCloseExistingAttemptNew`.

## Testing
Added unit test which validates that the correct close request is sent to the server.

Reviewers: Ismael Juma <ismael@juma.me.uk>, Kirk True <kirk@mustardgrain.com>, Philip Nee <philipnee@gmail.com>, Luke Chen <showuon@gmail.com>, David Jacot <djacot@confluent.io>","['clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java', 'clients/src/main/java/org/apache/kafka/clients/consumer/KafkaConsumer.java', 'clients/src/main/java/org/apache/kafka/clients/consumer/internals/Fetcher.java', 'clients/src/main/java/org/apache/kafka/common/requests/FetchMetadata.java', 'clients/src/main/java/org/apache/kafka/common/requests/FetchRequest.java', 'clients/src/main/java/org/apache/kafka/common/utils/Utils.java', 'clients/src/test/java/org/apache/kafka/clients/consumer/KafkaConsumerTest.java', 'clients/src/test/java/org/apache/kafka/clients/consumer/internals/FetcherTest.java', 'core/src/test/java/kafka/testkit/KafkaClusterTestKit.java']","'Closing the Kafka consumer doesn't send a 'close' fetch request to the server, resulting in orphaned fetch sessions which only close after hitting the timeout.'"
7f4fc76e968a6b2cf4a73364c93bfdea03f81af3,1591864163,"KAFKA-9374: Make connector interactions asynchronous (#8069)

These changes allow herders to continue to function even when a connector they are running hangs in its start, stop, initialize, validate, and/or config methods.

The main idea is to make these connector interactions asynchronous and accept a callback that can be invoked upon the completion (successful or otherwise) of these interactions. The distributed herder handles any follow-up logic by adding a new herder request to its queue in that callback, which helps preserve some synchronization and ordering guarantees provided by the current tick model.

If any connector refuses to shut down within a graceful timeout period, the framework will abandon it and potentially start a new connector in its place (in cases such as connector restart or reconfiguration).

Existing unit tests for the distributed herder and worker have been modified to reflect these changes, and a new integration test named `BlockingConnectorTest` has been added to ensure that they work in practice.

Reviewers: Greg Harris <gregh@confluent.io>, Nigel Liang <nigel@nigelliang.com>, Randall Hauch <rhauch@gmail.com>, Konstantine Karantasis <konstantine@confluent.io>","['connect/runtime/src/main/java/org/apache/kafka/connect/runtime/AbstractHerder.java', 'connect/runtime/src/main/java/org/apache/kafka/connect/runtime/CloseableConnectorContext.java', 'connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Herder.java', 'connect/runtime/src/main/java/org/apache/kafka/connect/runtime/HerderConnectorContext.java', 'connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Worker.java', 'connect/runtime/src/main/java/org/apache/kafka/connect/runtime/WorkerConnector.java', 'connect/runtime/src/main/java/org/apache/kafka/connect/runtime/distributed/DistributedHerder.java', 'connect/runtime/src/main/java/org/apache/kafka/connect/runtime/rest/resources/ConnectorPluginsResource.java', 'connect/runtime/src/main/java/org/apache/kafka/connect/runtime/rest/resources/ConnectorsResource.java', 'connect/runtime/src/main/java/org/apache/kafka/connect/runtime/standalone/StandaloneHerder.java', 'connect/runtime/src/main/java/org/apache/kafka/connect/util/ConnectUtils.java', 'connect/runtime/src/test/java/org/apache/kafka/connect/integration/BlockingConnectorTest.java', 'connect/runtime/src/test/java/org/apache/kafka/connect/runtime/AbstractHerderTest.java', 'connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerConnectorTest.java', 'connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerTest.java', 'connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerWithTopicCreationTest.java', 'connect/runtime/src/test/java/org/apache/kafka/connect/runtime/distributed/DistributedHerderTest.java', 'connect/runtime/src/test/java/org/apache/kafka/connect/runtime/rest/resources/ConnectorPluginsResourceTest.java', 'connect/runtime/src/test/java/org/apache/kafka/connect/runtime/standalone/StandaloneHerderTest.java', 'connect/runtime/src/test/java/org/apache/kafka/connect/util/clusters/EmbeddedConnectCluster.java']","Herders fail to function when a connector hangs in its start, stop, initialize, validate, and/or config methods, resulting in potential shutdown issues and disrupted synchronization."
3d45e1f09ee91a3233eec9adc416ff9c15c2b5c8,1591996640,"KAFKA-10157: Fix broken tests due to InterruptedException from FinalizedFeatureChangeListener (#8857)

This PR fixes the cause of failing tests mentioned in the jira:

kafka.network.DynamicConnectionQuotaTest
kafka.api.CustomQuotaCallbackTest
kafka.server.DynamicBrokerReconfigurationTest

Issue:
The call to ChangeNotificationProcessorThread.queue.take() could throw an InterruptedException. While the queue is empty and the thread is blocking on taking an item from the queue, a concurrent call to FinalizedFeatureChangeListener.close() could interrupt the thread and cause an InterruptedException to be raised from queue.take(). In such a case, it is safe to ignore the exception since the thread is being shutdown.
Definitely ignoring the InterruptedException for the above reason was the intent of the code that used the ignoring clause for the same. But it seems unfortunately the ignoring clause does not ignore InterruptedException, so that doesn't work for us. To confirm this theory, I found the following code in scala.util.control.Exception.scala: https://github.com/scala/scala/blob/v2.12.0/src/library/scala/util/control/Exception.scala#L167-L176.

Fix:
The fix in this PR is to just not use the ignoring clause. We rely on existing mechanism in ShutdownableThread that ignores the exception during shutdown.

Reviewers: Chia-Ping Tsai <chia7712@gmail.com>, Boyang Chan <boyang@confluent.io>, Anna Povzner <anna@confluent.io>, Jun Rao <junrao@gmail.com>",['core/src/main/scala/kafka/server/FinalizedFeatureChangeListener.scala'],"Tests are failing due to an InterruptedException raised during the shutdown of ChangeNotificationProcessorThread in FinalizedFeatureChangeListener, despite the intent to safely ignore this exception."
9972297e510d74bd5dedbffe5dfb7a9f1c0a123f,1692845956,"KAFKA-14780: Fix flaky test 'testSecondaryRefreshAfterElapsedDelay' (#14078)

""The test RefreshingHttpsJwksTest#testSecondaryRefreshAfterElapsedDelay relies on the actual system clock, which makes it frequently fail. The fix adds a second constructor that allows for passing a ScheduledExecutorService to manually execute the scheduled tasks before refreshing. The fixed task is much more robust and stable.

Co-authored-by: Fei Xie <feixie@MacBook-Pro.attlocal.net>

Reviewers: Divij Vaidya <diviv@amazon.com>, Luke Chen <showuon@gmail.com>","['clients/src/main/java/org/apache/kafka/common/security/oauthbearer/internals/secured/RefreshingHttpsJwks.java', 'clients/src/test/java/org/apache/kafka/common/security/oauthbearer/internals/secured/RefreshingHttpsJwksTest.java']",'Test case RefreshingHttpsJwksTest#testSecondaryRefreshAfterElapsedDelay exhibits flakiness due to reliance on actual system clock.'
b916cb40bd7bfe7077ce9fd1c2b4270b1b97b5ed,1647297730,"KAFKA-13690: Fix flaky test in EosIntegrationTest (#11887)

I found a couple of flakiness with the integration test.

IQv1 on stores failed although getting the store itself is covered with timeouts, since the InvalidStoreException is upon the query (store.all()). I changed to the util function with IQv2 whose timeout/retry covers the whole procedure. Example of such failure is: https://ci-builds.apache.org/blue/organizations/jenkins/Kafka%2Fkafka-pr/detail/PR-11802/11/tests/

With ALOS we should not check that the output, as well as the state store content is exactly as of processed once, since it is possible that during processing we got spurious task-migrate exceptions and re-processed with duplicates. I actually cannot reproduce this error locally, but from the jenkins errors it seems possible indeed. Example of such failure is: https://ci-builds.apache.org/blue/organizations/jenkins/Kafka%2Fkafka-pr/detail/PR-11433/4/tests/

Some minor cleanups.

Reviewers: A. Sophie Blee-Goldman <sophie@confluent.io>",['streams/src/test/java/org/apache/kafka/streams/integration/EosIntegrationTest.java'],"EosIntegrationTest is flaky, showing sporadic failures with IQv1 on stores and possible re-processing with duplicates during ALOS. Links to such failures provided."
3e38038278e8c6bb9c59432bedc81a06bc10d1de,1626467419,"HOTFIX: Init stream-stream left/outer join emit interval correctly (#11055)

Follow up to #10917

The fix from #10917 intended to reduce the emit frequency to save the creation cost of RocksDB iterators. However, we incorrectly initialized the ""timer"" with timestamp zero, and thus, the timer was always in the past and we did try to emit left/outer join result too often.

This PR fixes the initialization of the emit interval timer to current wall-clock time to effectively 'enable' the fix from #10917.

Reviewers: Sergio Peña <sergio@confluent.io>, Guozhang Wang <guozhang@confluent.io>","['streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamImplJoin.java', 'streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamKStreamJoin.java', 'streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamKStreamLeftJoinTest.java', 'streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamKStreamOuterJoinTest.java']","The timer in stream-stream left/outer join is incorrectly initialized with timestamp zero, causing the join result to be emitted too frequently and impacting performance."
36b273370dd840cc2bb6307f311f8952b886b323,1596161516,"KAFKA-10282; Remove Log metrics immediately when deleting log

Currently, we remove the Log metrics when asynchronous deletion of the log is triggered. However, we attempt to register the metrics immediately upon log creation. If a Log object is re-created for a partition that is pending deletion (because a topic was quickly re-created or because a partition was moved off and back onto a broker), the registration of the new metrics can happen before the asyncrhonous deletion. In this case, the metrics are removed after the second registration, leading to missing Log metrics.

To fix this, this patch changes the log deletion behavior to remove the metrics when the log is first marked for deletion, rather than when the files are deleted. This removes the window in which metrics registration can occur before metrics removal. This is justifiable because the log should be logically deleted when a delete request or partition movement finishes, rather than when the files are actually removed. Tested with unit tests.

Author: Bob Barrett <bob.barrett@confluent.io>

Reviewers: David Jacot, Dhruvil Shah, Vikas Singh, Gwen Shapira

Closes #9054 from bob-barrett/KAFKA-10282
","['core/src/main/scala/kafka/log/Log.scala', 'core/src/main/scala/kafka/log/LogManager.scala', 'core/src/test/scala/unit/kafka/log/LogManagerTest.scala', 'core/src/test/scala/unit/kafka/log/LogTest.scala']","Log metrics get removed after a second registration when a Log object for a partition pending deletion is re-created, leading to missing Log metrics."
