commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
51bee7aca13451167fa3e701fcd60f023eae5e61,1533609071,"[SPARK-25018][INFRA] Use `Co-authored-by` and `Signed-off-by` git trailer in `merge_spark_pr.py`

## What changes were proposed in this pull request?

In [Linux community](https://git.wiki.kernel.org/index.php/CommitMessageConventions), `Co-authored-by` and `Signed-off-by` git trailer have been used for awhile.

Until recently, Github adopted `Co-authored-by` to include the work of co-authors in the profile contributions graph and the repository's statistics. It's a convention for recognizing multiple authors, and can encourage people to collaborate in OSS communities.

Git provides a command line tools to read the metadata to know who commits the code to upstream, but it's not as easy as having `Signed-off-by` as part of the message so developers can find who is the relevant committers who can help with certain part of the codebase easier.

For a single author PR, I purpose to use `Authored-by` and `Signed-off-by`, so the message will look like

```
Authored-by: Author's name <authorexample.com>
Signed-off-by: Committer's name <committerexample.com>
```

For a multi-author PR, I purpose to use `Lead-authored-by:` and `Co-authored-by:` for the lead author and co-authors. The message will look like

```
Lead-authored-by: Lead Author's name <leadauthorexample.com>
Co-authored-by: CoAuthor's name <coauthorexample.com>
Signed-off-by: Committer's name <committerexample.com>
```

It's also useful to include `Reviewed-by:` to give credits to the people who participate on the code reviewing. We can add this in the next iteration.

Closes #21991 from dbtsai/script.

Lead-authored-by: DB Tsai <d_tsai@apple.com>
Co-authored-by: Liang-Chi Hsieh <viirya@gmail.com>
Co-authored-by: Brian Lindblom <blindblom@apple.com>
Co-authored-by: hyukjinkwon <gurwls223@apache.org>
Signed-off-by: hyukjinkwon <gurwls223@apache.org>
",['dev/merge_spark_pr.py'],"The current metadata included in commit messages does not adequately recognize or provide contact information for multiple authors/committers, making it harder to find who is responsible for certain parts of the codebase."
56c691caf05f84572f54939720e199e494af3d78,1674359118,"[SPARK-42146][CORE] Refactor `Utils#setStringField` to make maven build pass when sql module use this method

### What changes were proposed in this pull request?
This pr aims refactor  input parameter type of  `Utils#setStringField` function to make maven build pass when sql module use this functions.

### Why are the changes needed?
Make maven build pass when sql module use `Utils#setStringField` function

### Does this PR introduce _any_ user-facing change?
No

### How was this patch tested?

- Pass GitHub Actions
- Manual test:

Add the following code to sql module:

```scala
package org.apache.spark.status.protobuf.sql

import org.apache.spark.SparkFunSuite
import org.apache.spark.status.protobuf.StoreTypes
import org.apache.spark.status.protobuf.Utils.setStringField

class UtilsSuite extends SparkFunSuite {
  test(""maven build"") {
    val builder = StoreTypes.SQLExecutionUIData.newBuilder()
    setStringField(""1"", builder.setDetails)
  }
}
```

run `mvn  clean install  -DskipTests  -pl sql/core -am`

**Before**

```
[ERROR] [Error] /${basedir}/sql/core/src/test/scala/org/apache/spark/status/protobuf/sql/UtilsSuite.scala:27: type mismatch;
 found   : org.apache.spark.status.protobuf.StoreTypes.SQLExecutionUIData.Builder
 required: com.google.protobuf.MessageOrBuilder
[ERROR] one error found
```

**After**
BUILD SUCCESS

Closes #39688 from LuciferYang/SPARK-42146.

Authored-by: yangjie01 <yangjie01@baidu.com>
Signed-off-by: Gengliang Wang <gengliang@apache.org>
",['core/src/main/scala/org/apache/spark/status/protobuf/Utils.scala'],"Maven build fails due to type mismatch when using `Utils#setStringField` within SQL module, causing issues with successful completing of build."
965f872500a3554142cab3078a7a4d513d2d2ee8,1650012347,"[SPARK-37575][SQL][FOLLOWUP] Add legacy flag for the breaking change of write null value in csv to unquoted empty string

### What changes were proposed in this pull request?

Add a legacy flag `spark.sql.legacy.nullValueWrittenAsQuotedEmptyStringCsv` for the breaking change introduced in https://github.com/apache/spark/pull/34853 and https://github.com/apache/spark/pull/34905 (followup).

The flag is disabled by default, so the null values written as csv will output an unquoted empty string. When the legacy flag is enabled, the null will output quoted empty string.

### Why are the changes needed?
The original commit is a breaking change, and breaking changes should be encouraged to add a flag to turn it off for smooth migration between versions.

### Does this PR introduce _any_ user-facing change?
With the default value of the conf, there is no user-facing difference.
If users turn this conf off, they can restore the pre-change behavior.

### How was this patch tested?
Through unit tests.

Closes #36110 from anchovYu/flags-null-to-csv.

Authored-by: Xinyi Yu <xinyi.yu@databricks.com>
Signed-off-by: Wenchen Fan <wenchen@databricks.com>
","['sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/csv/UnivocityGenerator.scala', 'sql/catalyst/src/main/scala/org/apache/spark/sql/internal/SQLConf.scala', 'sql/core/src/test/scala/org/apache/spark/sql/execution/datasources/csv/CSVSuite.scala']",Writing null values as CSV outputs an unquoted empty string which introduces breaking change compared to previous versions.
43763629f1d1a220cd91e2aed89152d065dfba24,1533623294,"[SPARK-25010][SQL] Rand/Randn should produce different values for each execution in streaming query

## What changes were proposed in this pull request?

Like Uuid in SPARK-24896, Rand and Randn expressions now produce the same results for each execution in streaming query. It doesn't make too much sense for streaming queries. We should make them produce different results as Uuid.

In this change, similar to Uuid, we assign new random seeds to Rand/Randn when returning optimized plan from `IncrementalExecution`.

Note: Different to Uuid, Rand/Randn can be created with initial seed. Because we replace this initial seed at `IncrementalExecution`, it doesn't use the initial seed anymore. For now it seems to me not a big issue for streaming query. But need to confirm with others. cc zsxwing cloud-fan

## How was this patch tested?

Added test.

Closes #21980 from viirya/SPARK-25010.

Authored-by: Liang-Chi Hsieh <viirya@gmail.com>
Signed-off-by: Wenchen Fan <wenchen@databricks.com>
","['sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/expressions/misc.scala', 'sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/expressions/randomExpressions.scala', 'sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/IncrementalExecution.scala', 'sql/core/src/test/scala/org/apache/spark/sql/streaming/StreamingQuerySuite.scala']","Rand/Randn expressions in streaming query produce the same results for each execution rather than different random outcomes, losing their randomness and utility in a streaming context."
fa757ee1d41396ad8734a3f2dd045bb09bc82a2e,1496183586,"[SPARK-20883][SPARK-20376][SS] Refactored StateStore APIs and added conf to choose implementation

## What changes were proposed in this pull request?

A bunch of changes to the StateStore APIs and implementation.
Current state store API has a bunch of problems that causes too many transient objects causing memory pressure.

- `StateStore.get(): Option` forces creation of Some/None objects for every get. Changed this to return the row or null.
- `StateStore.iterator(): (UnsafeRow, UnsafeRow)` forces creation of new tuple for each record returned. Changed this to return a UnsafeRowTuple which can be reused across records.
- `StateStore.updates()` requires the implementation to keep track of updates, while this is used minimally (only by Append mode in streaming aggregations). Removed updates() and updated StateStoreSaveExec accordingly.
- `StateStore.filter(condition)` and `StateStore.remove(condition)` has been merge into a single API `getRange(start, end)` which allows a state store to do optimized range queries (i.e. avoid full scans). Stateful operators have been updated accordingly.
- Removed a lot of unnecessary row copies Each operator copied rows before calling StateStore.put() even if the implementation does not require it to be copied. It is left up to the implementation on whether to copy the row or not.

Additionally,
- Added a name to the StateStoreId so that each operator+partition can use multiple state stores (different names)
- Added a configuration that allows the user to specify which implementation to use.
- Added new metrics to understand the time taken to update keys, remove keys and commit all changes to the state store. These metrics will be visible on the plan diagram in the SQL tab of the UI.
- Refactored unit tests such that they can be reused to test any implementation of StateStore.

## How was this patch tested?
Old and new unit tests

Author: Tathagata Das <tathagata.das1565@gmail.com>

Closes #18107 from tdas/SPARK-20376.
","['sql/catalyst/src/main/scala/org/apache/spark/sql/internal/SQLConf.scala', 'sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/FlatMapGroupsWithStateExec.scala', 'sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/state/HDFSBackedStateStoreProvider.scala', 'sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/state/StateStore.scala', 'sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/state/StateStoreConf.scala', 'sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/state/StateStoreRDD.scala', 'sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/state/package.scala', 'sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/statefulOperators.scala', 'sql/core/src/test/scala/org/apache/spark/sql/execution/streaming/state/StateStoreRDDSuite.scala', 'sql/core/src/test/scala/org/apache/spark/sql/execution/streaming/state/StateStoreSuite.scala', 'sql/core/src/test/scala/org/apache/spark/sql/streaming/FlatMapGroupsWithStateSuite.scala', 'sql/core/src/test/scala/org/apache/spark/sql/streaming/StreamSuite.scala']","Current StateStore APIs have multiple issues leading to the creation of unnecessary transient objects, causing memory pressure. The implementations also cause redundant row copies and lack configuration to choose the implementation."
eb7adb1b000fc37e4315cf92e843985a739cb36a,1636147274,"[SPARK-35496][BUILD] Upgrade Scala to 2.13.7

### What changes were proposed in this pull request?
This pr aims to update from Scala 2.13.5 to Scala 2.13.7 for Apache Spark 3.3. The main change of this pr as follows:

1. For fix `weaker access privileges in overriding`, remove the access modifier different from the parent class declared in `SparkContext`, `DiskBlockObjectWriter`, `EpochTracker` and `SparkSessionExtensionSuite`

2. Add explicit `()` to return `Unit` type for `DateTimeFormatter.validatePatternString` and `TimestampFormatter.validatePatternString` to avoid `type mismatch`

3. Add 3 new compile args to `pom.xml` and `SparkBuild.scala` to suppress some compilation warnings that are converted to compilation error

### Why are the changes needed?
Scala 2.13.7 is a maintenance release for 2.13 line and the release notes as follows:

- [https://github.com/scala/scala/releases/tag/v2.13.6](https://github.com/scala/scala/releases/tag/v2.13.6)
- [https://github.com/scala/scala/releases/tag/v2.13.7](https://github.com/scala/scala/releases/tag/v2.13.7)

### Does this PR introduce _any_ user-facing change?
No

### How was this patch tested?

- Pass the GitHub Action Scala 2.13 job
- Manual test
```
dev/change-scala-version.sh 2.13

build/mvn clean install -DskipTests -Phadoop-3.2 -Phive-2.3 -Phadoop-cloud -Pmesos -Pyarn -Pkinesis-asl -Phive-thriftserver -Pspark-ganglia-lgpl -Pkubernetes -Phive -Pscala-2.13

build/mvn test -Phadoop-3.2 -Phive-2.3 -Phadoop-cloud -Pmesos -Pyarn -Pkinesis-asl -Phive-thriftserver -Pspark-ganglia-lgpl -Pkubernetes -Phive -Pscala-2.13

```
All tests passed.

Closes #32648 from LuciferYang/SPARK-35496.

Authored-by: yangjie01 <yangjie01@baidu.com>
Signed-off-by: Dongjoon Hyun <dongjoon@apache.org>
","['core/src/main/scala/org/apache/spark/SparkContext.scala', 'core/src/main/scala/org/apache/spark/storage/DiskBlockObjectWriter.scala', 'project/SparkBuild.scala', 'sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/util/DateFormatter.scala', 'sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/util/TimestampFormatter.scala', 'sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/continuous/EpochTracker.scala', 'sql/core/src/test/scala/org/apache/spark/sql/SparkSessionExtensionSuite.scala']","Apache Spark 3.3 is failing to upgrade from Scala 2.13.5 to Scala 2.13.7 due to issues related to access modifiers, type mismatch, and new compilation warnings."
dd4db21cb69a9a9c3715360673a76e6f150303d4,1684116531,"[SPARK-43492][SQL] Add 3-args function aliases `DATE_ADD` and `DATE_DIFF`

### What changes were proposed in this pull request?
In the PR, I propose to extend the rules of `primaryExpression` in `SqlBaseParser.g4`, and two more functions `DATE_ADD` and `DATE_DIFF` that accept 3-args in the same way as the existing expressions `DATEADD` and `DATEDIFF`.

### Why are the changes needed?
To do not confuse users and improve user experience with Spark SQL. There are the `DATE_ADD` and `DATE_DIFF` aliases for 2-args functions: https://github.com/apache/spark/blob/46332d985e52f76887c139f67d1471b82e85d5ca/sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/analysis/FunctionRegistry.scala#L606-L607

but Spark SQL doesn't provide 3-args `DATE_ADD` and `DATE_DIFF`. And Spark SQL outputs the confusing error:
```sql
spark-sql (default)> select date_add(MONTH, 1, date'2023-05-13');
[UNRESOLVED_COLUMN.WITHOUT_SUGGESTION] A column or function parameter with name `MONTH` cannot be resolved. ; line 1 pos 16;
```

### Does this PR introduce _any_ user-facing change?
No, only if user code depends on the error class. After the changes, Spark SQL outputs an result similar to `DATEADD`/`DATEDIFF`:
```sql
spark-sql (default)> select date_add(MONTH, 1, date'2023-05-13');
2023-06-13 00:00:00
```

### How was this patch tested?
By running the existing test suites:
```
$ PYSPARK_PYTHON=python3 build/sbt ""sql/testOnly org.apache.spark.sql.SQLQueryTestSuite""
```

Closes #41157 from MaxGekk/date_add_diff.

Authored-by: Max Gekk <max.gekk@gmail.com>
Signed-off-by: Hyukjin Kwon <gurwls223@apache.org>
","['sql/catalyst/src/main/antlr4/org/apache/spark/sql/catalyst/parser/SqlBaseLexer.g4', 'sql/catalyst/src/main/antlr4/org/apache/spark/sql/catalyst/parser/SqlBaseParser.g4', 'sql/core/src/test/resources/sql-tests/inputs/date.sql', 'sql/hive-thriftserver/src/test/scala/org/apache/spark/sql/hive/thriftserver/ThriftServerWithSparkContextSuite.scala']","The 3-args functions `DATE_ADD` and `DATE_DIFF` are not recognized in Spark SQL, leading to unresolved column errors when they are called."
2e90574dd0e60ea960a33580dfb29654671b66f4,1554885568,"[SPARK-27414][SQL] make it clear that date type is timezone independent

## What changes were proposed in this pull request?

In SQL standard, date type is a union of the `year`, `month` and `day` fields. It's timezone independent, which means it does not represent a specific point in the timeline.

Spark SQL follows the SQL standard, this PR is to make it clear that date type is timezone independent
1. improve the doc to highlight that date is timezone independent.
2. when converting string to date,  uses the java time API that can directly parse a `LocalDate` from a string, instead of converting `LocalDate` to a `Instant` at UTC first.
3. when converting date to string, uses the java time API that can directly format a `LocalDate` to a string, instead of converting `LocalDate` to a `Instant` at UTC first.

2 and 3 should not introduce any behavior changes.

## How was this patch tested?

existing tests

Closes #24325 from cloud-fan/doc.

Authored-by: Wenchen Fan <wenchen@databricks.com>
Signed-off-by: Wenchen Fan <wenchen@databricks.com>
","['sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/util/DateFormatter.scala', 'sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/util/DateTimeUtils.scala']","Misleading representations and operations on Spark SQL date type can create ambiguity, as it may not be clear that it's timezone independent."
1149c4efbc5ebe5b412d8f9c61558fef59179a9e,1535470687,"[SPARK-25005][SS] Support non-consecutive offsets for Kafka

## What changes were proposed in this pull request?

As the user uses Kafka transactions to write data, the offsets in Kafka will be non-consecutive. It will contains some transaction (commit or abort) markers. In addition, if the consumer's `isolation.level` is `read_committed`, `poll` will not return aborted messages either. Hence, we will see non-consecutive offsets in the date returned by `poll`. However, as `seekToEnd` may move the offset point to these missing offsets, there are 4 possible corner cases we need to support:

- The whole batch contains no data messages
- The first offset in a batch is not a committed data message
- The last offset in a batch is not a committed data message
- There is a gap in the middle of a batch

They are all covered by the new unit tests.

## How was this patch tested?

The new unit tests.

Closes #22042 from zsxwing/kafka-transaction-read.

Authored-by: Shixiong Zhu <zsxwing@gmail.com>
Signed-off-by: Shixiong Zhu <zsxwing@gmail.com>
","['external/kafka-0-10-sql/src/main/scala/org/apache/spark/sql/kafka010/KafkaContinuousReadSupport.scala', 'external/kafka-0-10-sql/src/main/scala/org/apache/spark/sql/kafka010/KafkaDataConsumer.scala', 'external/kafka-0-10-sql/src/test/scala/org/apache/spark/sql/kafka010/KafkaContinuousSourceSuite.scala', 'external/kafka-0-10-sql/src/test/scala/org/apache/spark/sql/kafka010/KafkaMicroBatchSourceSuite.scala', 'external/kafka-0-10-sql/src/test/scala/org/apache/spark/sql/kafka010/KafkaRelationSuite.scala', 'external/kafka-0-10-sql/src/test/scala/org/apache/spark/sql/kafka010/KafkaTestUtils.scala']","Kafka offsets are non-consecutive when user uses transactions to write data, with potential for missing offsets. This presents issues when `seekToEnd` moves the offset to these missing positions, causing four possible corner cases that need support."
0b892a543f9ea913f961eea95a4e45f1231b9a57,1666962409,"[SPARK-40932][CORE] Fix issue messages for allGather are overridden

### What changes were proposed in this pull request?

The messages returned by allGather may be overridden by the following barrier APIs, eg,

``` scala
      val messages: Array[String] = context.allGather(""ABC"")
      context.barrier()
```

the  `messages` may be like Array("""", """"), but we're expecting Array(""ABC"", ""ABC"")

The root cause of this issue is the [messages got by allGather](https://github.com/apache/spark/blob/master/core/src/main/scala/org/apache/spark/BarrierTaskContext.scala#L102) pointing to the [original message](https://github.com/apache/spark/blob/master/core/src/main/scala/org/apache/spark/BarrierCoordinator.scala#L107) in the local mode. So when the following barrier APIs changed the messages, then the allGather message will be changed accordingly.
Finally, users can't get the correct result.

This PR fixed this issue by sending back the cloned messages.

### Why are the changes needed?

The bug mentioned in this description may block some external SPARK ML libraries which heavily depend on the spark barrier API to do some synchronization. If the barrier mechanism can't guarantee the correctness of the barrier APIs, it will be a disaster for external SPARK ML libraries.

### Does this PR introduce _any_ user-facing change?
No

### How was this patch tested?

I added a unit test, with this PR, the unit test can pass

Closes #38410 from wbo4958/allgather-issue.

Authored-by: Bobby Wang <wbo4958@gmail.com>
Signed-off-by: Wenchen Fan <wenchen@databricks.com>
","['core/src/main/scala/org/apache/spark/BarrierCoordinator.scala', 'core/src/test/scala/org/apache/spark/scheduler/BarrierTaskContextSuite.scala']","""allGather"" messages get overwritten by subsequent barrier API calls, preventing users from obtaining the correct results and interfering with external Spark ML libraries using Spark Barrier API for synchronization."
