commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
f74c89b145c3ed48b0e6e6185c915b96c7f161dc,1563992711,"Misc improvements based on user feedback from Tim

* Added shadow to modals
* Change default ""collapse new nodes"" to be disabled rather than enabled
* Changed setting label ""Collapse newly added components by default"" to ""Expand component tree by default""
* Change CSS media query for settings popup to show labels at smaller size
* Hide ""Inspect the matching DOM element"" button (since it doesnt really serve a purpose in standalone)
* Fixed small size bug for settings icon (viewbox of 20x20 instead of 24x24)
* bugfix: window.addEventListener/window.removeEventListener is not defined in Hermes.

","['packages/react-devtools-core/src/standalone.js', 'src/backend/renderer.js', 'src/backend/views/Highlighter/index.js', 'src/devtools/store.js', 'src/devtools/views/ButtonIcon.js', 'src/devtools/views/Components/Components.js', 'src/devtools/views/Components/SelectedElement.js', 'src/devtools/views/DevTools.js', 'src/devtools/views/Icon.js', 'src/devtools/views/Profiler/Profiler.js', 'src/devtools/views/Settings/ComponentsSettings.js', 'src/devtools/views/Settings/SettingsContext.js', 'src/devtools/views/Settings/SettingsModal.js', 'src/devtools/views/TabBar.js']","Default setting for ""collapse new nodes"" is enabled causing inconvenience. Settings popup UI does not adapt properly to smaller sizes, and ""Inspect the matching DOM element"" button is visible in standalone mode unnecessarily. Also, there is an issue with undefined window.addEventListener/window.removeEventListener in Hermes and incorrect viewing size for settings icon."
cfd8c1bd43fc4fcf708a584924f27a6c79803eae,1614020660,"DevTools: Restore inspect-element bridge optimizations (#20789)

* Restore inspect-element bridge optimizations

When the new Suspense cache was integrated (so that startTransition could be used) I removed a couple of optimizations between the backend and frontend that reduced bridge traffic when e.g. dehydrated paths were inspected for elements that had not rendered since previously inspected. This commit re-adds those optimizations as well as an additional test with a bug fix that I noticed while reading the backend code.

There are two remaining TODO items as of this commit:
- Make inspected element edits and deletes also use transition API
- Don't over-eagerly refresh the cache in our ping-for-updates handler

I will addres both in subsequent commits.

* Poll for update only refreshes cache when there's an update

* Added inline comment
","['packages/react-devtools-shared/src/__tests__/inspectedElement-test.js', 'packages/react-devtools-shared/src/__tests__/legacy/inspectElement-test.js', 'packages/react-devtools-shared/src/backend/agent.js', 'packages/react-devtools-shared/src/backend/legacy/renderer.js', 'packages/react-devtools-shared/src/backend/renderer.js', 'packages/react-devtools-shared/src/backend/types.js', 'packages/react-devtools-shared/src/backendAPI.js', 'packages/react-devtools-shared/src/bridge.js', 'packages/react-devtools-shared/src/devtools/views/Components/InspectedElement.js', 'packages/react-devtools-shared/src/devtools/views/Components/InspectedElementContext.js', 'packages/react-devtools-shared/src/devtools/views/Components/types.js', 'packages/react-devtools-shared/src/inspectedElementCache.js', 'packages/react-devtools-shared/src/inspectedElementMutableSource.js']",Removal of certain optimizations in the inspect-element bridge led to increased bridge traffic when inspecting for dehydrated paths. This results in unnecessary cache refreshes during ping-for-updates handling.
efd8f6442d1aa7c4566fe812cba03e7e83aaccc3,1644508750,"Resolve default onRecoverableError at root init (#23264)

Minor follow up to initial onRecoverableError PR.

When onRecoverableError is not provided to `createRoot`, the
renderer falls back to a default implementation. Originally I
implemented this with a host config method, but what we can do instead
is pass the default implementation the root constructor as if it were
a user provided one.
","['packages/react-art/src/ReactARTHostConfig.js', 'packages/react-dom/src/client/ReactDOMHostConfig.js', 'packages/react-dom/src/client/ReactDOMLegacy.js', 'packages/react-dom/src/client/ReactDOMRoot.js', 'packages/react-native-renderer/src/ReactFabric.js', 'packages/react-native-renderer/src/ReactFabricHostConfig.js', 'packages/react-native-renderer/src/ReactNativeHostConfig.js', 'packages/react-native-renderer/src/ReactNativeRenderer.js', 'packages/react-noop-renderer/src/createReactNoop.js', 'packages/react-reconciler/src/ReactFiberReconciler.new.js', 'packages/react-reconciler/src/ReactFiberReconciler.old.js', 'packages/react-reconciler/src/ReactFiberWorkLoop.new.js', 'packages/react-reconciler/src/ReactFiberWorkLoop.old.js', 'packages/react-reconciler/src/ReactInternalTypes.js', 'packages/react-reconciler/src/forks/ReactFiberHostConfig.custom.js', 'packages/react-test-renderer/src/ReactTestRenderer.js']","`createRoot` doesn't provide a default implementation for `onRecoverableError`, causing the renderer to fail when `onRecoverableError` is not specified."
3cc8a9347bd540ac68acfb181fbc7fba7c371648,1693943707,"[Fizz] Move formatContext tracking back to the task (#27325)

In https://github.com/facebook/react/pull/21113 I moved this over to the
segment from the task. This partially reverts this two use two fields
instead. I was just trying to micro-optimize by reusing a single field.

This is really conceptually two different values. Task is keeping track
of the working state of the currently executing context.

The segment just needs to keep track of which parent context it was
created in so that it can be wrapped correctly when a segment is
written. We just happened to rely on the working state returning to the
top before completing.

The main motivation is that there is no `segment` for replaying.
",['packages/react-server/src/ReactFizzServer.js'],The current architecture potentially conflates the tracking of the working state of the executing context and the tracking of the parenting context of the segment. This might lead to issues when trying to replay a segment since there is no `segment` for replaying.
31518135c25aaa1b5c2799d2a18b6b9e9178409c,1553179971,"Strengthen nested update counter test coverage (#15166)

* Isolate ReactUpdates-test cases

This ensures their behavior is consistent when run in isolation, and that they actually test the cases they're describing.

* Add coverage for cases where we reset nestedUpdateCounter

These cases explicitly verify that we reset the counter in right places.

* Add a mutually recursive test case

* Add test coverage for useLayoutEffect loop

",['packages/react-dom/src/__tests__/ReactUpdates-test.js'],Nested update counter behavior needs better coverage to verify accurate resetting and isolate tests for consistency. Additional case needed for testing useLayoutEffect loop.
75ab53b9e1de662121e68dabb010655943d28d11,1564181037,"[scheduler] Yield many times per frame, no rAF (#16214)

Adds experimental flag to yield many times per frame using a message
event loop, instead of the current approach of guessing the next vsync
and yielding at the end of the frame.

This new approach forgoes a `requestAnimationFrame` entirely. It posts a
message event and performs a small amount of work (5ms) before yielding
to the browser, regardless of where it might be in the vsync cycle. At
the end of the event, if there's work left over, it posts another
message event.

This should keep the main thread responsive even for really high frame
rates. It also shouldn't matter if the hardware frame rate changes after
page load (our current heuristic only detects if the frame rate
increases, not decreases).

The main risk is that yielding more often will exacerbate main thread
contention with other browser tasks.

Let's try it and see.
","['packages/scheduler/src/SchedulerFeatureFlags.js', 'packages/scheduler/src/__tests__/SchedulerBrowser-test.internal.js', 'packages/scheduler/src/__tests__/SchedulerBrowser-test.js', 'packages/scheduler/src/forks/SchedulerFeatureFlags.www.js', 'packages/scheduler/src/forks/SchedulerHostConfig.default.js']","The scheduler's current approach to guessing the next vsync and yielding at the end of the frame can lead to contention with other browser tasks, and fail to keep the main thread responsive for higher frame rates."
323efbc33c27a602a4aab8519f58feba1e0a216c,1512398372,"Ensure value and defaultValue do not assign functions and symbols (#11741)

* Ensure value and defaultValue do not assign functions and symbols

* Eliminate assignProperty method from ReactDOMInput

* Restore original placement of defaultValue reservedProp

* Reduce branching. Make assignment more consistent

* Control for warnings in symbol/function tests

* Add boolean to readOnly assignments

* Tweak the tests

* Invalid value attributes should convert to an empty string

* Revert ChangeEventPlugin update. See #11746

* Format

* Replace shouldSetAttribute call with value specific type check

DOMProperty.shouldSetAttribute runs a few other checks that aren't
appropriate for determining if a value or defaultValue should be
assigned on an input. This commit replaces that call with an input
specific check.

* Remove unused import

* Eliminate unnecessary numeric equality checks (#11751)

* Eliminate unnecessary numeric equality checks

This commit changes the way numeric equality for number inputs works
such that it compares against `input.valueAsNumber`. This eliminates
quite a bit of branching around numeric equality.

* There is no need to compare valueAsNumber

* Add test cases for empty string to 0.

* Avoid implicit boolean JSX props

* Split up numeric equality test to isolate eslint disable command

* Fix typo in ReactDOMInput test

* Add todos

* Update the attribute table

","['packages/react-dom/src/__tests__/ReactDOMInput-test.js', 'packages/react-dom/src/client/ReactDOMFiberInput.js', 'packages/react-dom/src/events/ChangeEventPlugin.js', 'packages/react-dom/src/shared/DOMProperty.js']",Input properties 'value' and 'defaultValue' accepting and assigning functions and symbols leads to improper handling and inconsistencies in numeric equality checks.
3938ccc88aa3dcc5a4460474bda40af97dd6e234,1534192435,"Allow the user to opt out of seeing ""The above error..."" addendum (#13384)

* Remove e.suppressReactErrorLogging check before last resort throw

It's unnecessary here. It was here because this method called console.error().
But we now rethrow with a clean stack, and that's worth doing regardless of whether the logging is silenced.

* Don't print error addendum if 'error' event got preventDefault()

* Add fixtures

* Use an expando property instead of a WeakSet

* Make it a bit less fragile

* Clarify comments

","['fixtures/dom/src/components/fixtures/error-handling/index.js', 'packages/react-reconciler/src/ReactFiberCommitWork.js', 'packages/react-reconciler/src/ReactFiberErrorLogger.js', 'packages/react-reconciler/src/ReactFiberScheduler.js', 'packages/shared/invokeGuardedCallback.js']","When an 'error' event is preventDefault(), unnecessary error addendum prints are still occurring."
aebf3b456b320a931c7a292f9c5948ee57c8174f,1629154130,"[Scheduler] Check for continuous input events (#22107)

* [Scheduler] Track start of current chunk

Currently in `shouldYield`, we compare the current time to a deadline
that is pre-computed at the beginning of the current chunk.

However, since we use different deadlines depending on whether an input
event is pending, it makes more sense to track the start of the current
chunk and check how much time has elapsed since then.

Doesn't change any behavior, just refactors the logic.

* [Scheduler] Check for continuous input events

`isInputPending` supports a `includeContinuous` option. When set to
`true`, the method will check for pending continuous inputs, like
`mousemove`, in addition to discrete ones, like `click`.

We will only check for pending continuous inputs if we've blocked the
main thread for a non-neglible amount of time. If we've only blocked
the main thread for, say, a few frames, then we'll only check for
discrete inputs.

I wrote a test for this but didn't include it because we haven't yet set
up the `gate` flag infra to work with Scheduler feature flags. For now,
I ran the test locally.

* Review nits
",['packages/scheduler/src/forks/Scheduler.js'],"Continuous input events like `mousemove` are not being checked for pending status when the main thread is blocked for a non-negligible amount of time, potentially causing input lag."
8d60bd4dc2f7128c3de53474db50df000b14f677,1552689032,"[Shallow] Implement setState for Hooks and remount on type change (#15120)

* Throw away old shallow renderer state on type change

This worked in function components but was broken for classes. It incorrectly retained the old instance even if the type was different.

* Remove _previousComponentIdentity

We only needed this because we didn't correctly reset based on type. Now we do so this can go away.

* Use _reset when unmounting

* Use arbitrary componentIdentity

There was no particular reason it was set to element.type. We just wanted to check if something is a render phase update.

* Support Hook state updates in shallow renderer

","['packages/react-test-renderer/src/ReactShallowRenderer.js', 'packages/react-test-renderer/src/__tests__/ReactShallowRenderer-test.js', 'packages/react-test-renderer/src/__tests__/ReactShallowRendererHooks-test.js']","Shallow renderer retains old instance even if component type changes, resulting in incorrect behaviour. Also, hook state updates are not supported in the shallow renderer."
