commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
76e569992b259b9e636ee68dcc7719539f4b9bb8,1557817141,"Cleanup profile export/import data types, add export/import test

Strengthened the I/O-boundary type conversion logic.

Fixed type inconsistencies uncovered by removing `any` and
by making explicit type annotations and transformations.

In particular, these were likely malformed when restored from a file:
- `commitDetails`
- `interactions`
- `initialTreeBaseDurations`

The mismatches were Map vs interleaved Array.

","['src/__tests__/profiling-test.js', 'src/__tests__/profilingCharts-test.js', 'src/__tests__/setupTests.js', 'src/__tests__/utils.js', 'src/backend/agent.js', 'src/backend/index.js', 'src/backend/renderer.js', 'src/backend/types.js', 'src/devtools/ProfilingCache.js', 'src/devtools/store.js', 'src/devtools/views/Profiler/Interactions.js', 'src/devtools/views/Profiler/ProfilingImportExportButtons.js', 'src/devtools/views/Profiler/SidebarInteractions.js', 'src/devtools/views/Profiler/types.js', 'src/devtools/views/Profiler/utils.js']","Malformed data types (`commitDetails`, `interactions`, `initialTreeBaseDurations`) upon restoration from a file due to Map vs interleaved Array type inconsistencies."
d919e2c41c71fc7bc4ae037b3a3c60a4600d0a54,1612900575,"Add tests for non-React discrete events flushing in a microtask (#20772)

* Convert some old discrete tests to Hooks

I'm planning to copy paste so why not update them anyway.

* Copy paste discrete tests into another file

These are still using React events. I'll change that next.

* Convert the test to use native events
","['packages/react-dom/src/__tests__/ReactDOMFiberAsync-test.js', 'packages/react-dom/src/__tests__/ReactDOMNativeEventHeuristic-test.js']",Discrete events tests are outdated and use React events instead of native events. Conversion and update for these tests is required.
353c30252f67145fa8241b6979d570cb152c2b22,1669996435,"Hold host functions in var (#25741)

Calling any function on `nativeFabricUIManager`, for example
`nativeFabricUIManager.measure`, results in a round trip to the host
platform through jsi layer. It is the same for repeated calls to same
host function. This is unnecessary overload which can be avoided by
retaining host function in a variable.
","['packages/react-native-renderer/src/ReactFabric.js', 'packages/react-native-renderer/src/ReactFabricGlobalResponderHandler.js', 'packages/react-native-renderer/src/ReactNativeFiberInspector.js', 'packages/react-native-renderer/src/ReactNativeRenderer.js', 'packages/react-native-renderer/src/__tests__/ReactNativeError-test.internal.js', 'packages/react-native-renderer/src/__tests__/ReactNativeEvents-test.internal.js', 'packages/react-native-renderer/src/__tests__/ReactNativeMount-test.internal.js', 'packages/react-native-renderer/src/__tests__/createReactNativeComponentClass-test.internal.js']",Repeated calls to the same host function on `nativeFabricUIManager` are causing unnecessary back-and-forth trips through the JSI layer.
77ba1618a528787baaa8e007fadaff93a86fb675,1679364473,"Bugfix: Remove extra render pass when reverting to client render (#26445)

(This was reviewed and approved as part of #26380; I'm extracting it
into its own PR so that it can bisected later if it causes an issue.)

I noticed while working on a PR that when an error happens during
hydration, and we revert to client rendering, React actually does _two_
additional render passes instead of just one. We didn't notice it
earlier because none of our tests happened to assert on how many renders
it took to recover, only on the final output.

It's possible this extra render pass had other consequences that I'm not
aware of, like messing with some assumption in the recoverable errors
logic.

This adds a test to demonstrate the issue. (One problem is that we don't
have much test coverage of this scenario in the first place, which
likely would have caught this earlier.)
","['packages/react-dom/src/__tests__/ReactDOMServerPartialHydration-test.internal.js', 'packages/react-reconciler/src/ReactFiberCompleteWork.js']","During hydration, if an error occurs and there is a switch to client rendering, React performs two additional render passes rather than one, potentially impacting the recoverable errors logic and the final output."
f118b7cebf9c15d11c5973bfd40860b5f457df08,1680107275,"[Flight] Gated test for dropped transport of undefined object values (#26478)

## Summary

With https://github.com/facebook/react/pull/26349 we now serialize
`undefined`. However, deserializing it on the client is currently
indistinguishable from the value missing entirely due to how
`JSON.parse` treats `undefined` return value of reviver functions.

This leads to inconsistent behavior of the `Object.hasOwn` or `in`
operator (used for narrowing in TypeScript). In TypeScript-speak, `{
prop: T | undefined}` will arrive as `{ prop?: T }`.

## How did you test this change?

- Added test that is expected to fail. Though ideally the implementation
of the component would not care whether it's used on the client or
server.
",['packages/react-client/src/__tests__/ReactFlight-test.js'],"Deserializing undefined object values on the client is indistinguishable from the value missing entirely due to the way `JSON.parse` interprets `undefined` return values in revivers, leading to inconsistencies in `Object.hasOwn` or `in` operators and TypeScript narrowing."
bd846459d6c96e6caa64c44e0fb42696db839447,1562113785,"[fail] Only warn on unacted effects for strict / non sync modes (#16041)

* only warn on unacted effects for strict / non sync modes

(basically, when `fiber.mode !== 0b0000`)

Warnings on unacted effects may be too noisy, especially for legacy apps. This PR fires the warning only when in a non sync mode (concurrent/batched), or when in strict mode. This should make updating easier.

I also added batched mode tests to the act() suite.

* explicitly check for modes before warning, explicit tests for all modes

","['packages/react-dom/src/__tests__/ReactDOMHooks-test.js', 'packages/react-dom/src/__tests__/ReactTestUtilsAct-test.js', 'packages/react-reconciler/src/ReactFiberWorkLoop.js', 'packages/react-reconciler/src/__tests__/ReactHooks-test.internal.js']","Warnings for unacted effects are non-discriminative, resulting in unnecessary noise, particularly for legacy apps. This especially occurs when the application is in non-sync mode (concurrent/batched), or in strict mode."
9c77ffb444598c32c8f92c8d79e406959a10445b,1524585271,"Dedup conditional in ReactScheduler (#12680)

**what is the change?:**
We had a condition to set either 'performance.now' or 'Date.now' as the
'now' function.

Then later we had another conditional checking again if
'performance.now' was supported, and using it if so, otherwise falling
back to 'Date.now'.

More efficient to just use the 'now' shortcut defined above.

**why make this change?:**
Fewer lines, clearer code.

**test plan:**
Now that we have tests we can run them :)
",['packages/react-scheduler/src/ReactScheduler.js'],"The 'performance.now' or 'Date.now' selection is being checked twice, redundantly, leading to less efficient code."
708fa77a783bbe729cfcebdd513d23eafc455b8b,1599241329,"Decrease expiration time of input updates (#19772)

Changes the expiration time of input updates from 1000ms to 250ms, to
match the corresponding constant in Scheduler.js.

When we made it larger, a product metric in www regressed, suggesting
there's a user interaction that's being starved by a series of
synchronous updates. If that theory is correct, the proper solution is
to fix the starvation. However, this scenario supports the idea that
expiration times are an important safeguard when starvation does happen.

Also note that, in the case of user input specifically, this will soon
no longer be an issue because we plan to make user input synchronous by
default (until you enter `startTransition`, of course.)

If weren't planning to make these updates synchronous soon anyway, I
would probably make this number a configurable parameter.
",['packages/react-reconciler/src/ReactFiberLane.js'],"User interaction appears to be blocked due to the large expiration time of input updates, indicating possible starvation by synchronous updates."
17204056d5ec0a53a74979321c519137d215cf64,1666839209,"[Float] fix coordination of resource identity and hydration (#25569)

there are a few bugs where dom representations from SSR aren't
identified as Resources when they should be.

There are 3 semantics

Resource -> hoist to head, deduping, etc...
hydratable Component -> SSR'd and hydrated in place
non-hydratable Component -> never SSR'd, never hydrated, always inserted
on the client

this last category is small
(non stylesheet) links with onLoad and/or onError
async scripts with onLoad and/or onError

The reason we have this distinction for now is we need every SSR'd async
script to be assumable to be a Resource. we don't currently encode
onLoad on the server and so we couldn't otherwise tell if an async
script is a Resource or is an async script with an onLoad which would
not be a resource. To avoid this ambiguity we never emit the scripts in
SSR and assume they need to be inserted on the client.

We can explore changes to these semantics in the future or possibly
encode some identifier when we want to opt out of resource semantics but
still SSR the link or script.
","['packages/react-dom-bindings/src/client/ReactDOMFloatClient.js', 'packages/react-dom-bindings/src/client/ReactDOMHostConfig.js', 'packages/react-dom-bindings/src/server/ReactDOMFloatServer.js', 'packages/react-dom/src/__tests__/ReactDOMFloat-test.js']","DOM representations from server-side rendering (SSR) are not correctly identified as Resources when appropriate, causing ambiguities between async scripts and Resources."
1c44437355e21f2992344fdef9ab1c1c5a7f8c2b,1647475560,"Fix createRoot container signature (#24110)

The internal Container type represents the types of containers that React
can support in its internals that deal with containers.

This didn't include DocumentFragment which we support specifically for
rendering into shadow roots.

However, not all types makes sense to pass into the createRoot API.

One of those is comment nodes that is deprecated and we don't really fully
support. It really only exists for FB legacy.

For createRoot it doesn't make sense to pass a Document since that will try
to empty the document which removes the HTML tag which doesn't work.
Documents can only be passed to hydrateRoot.

Conversely I'm not sure we actually support hydrating a shadow root properly
so I excluded DocumentFragment from hydrateRoot.
","['packages/react-dom/client.js', 'packages/react-dom/src/client/ReactDOM.js', 'packages/react-dom/src/client/ReactDOMComponent.js', 'packages/react-dom/src/client/ReactDOMHostConfig.js', 'packages/react-dom/src/client/ReactDOMRoot.js']","Issues in createRoot API where not all container types are properly supported, including problems with DocumentFragment for rendering into shadow roots, and deprecated comment nodes. Document passing in createRoot leads to critical HTML tag removal."
