commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
06107541d3df39e3d9685e64c3b942d9aed06d75,1643368530,"Fixing support `batch_size` and `num_return_Sequences` in `text-generation` pipeline (#15318)

* Fixing support `batch_size` and `num_return_Sequences` in
`text-generation` pipeline

And `text2text-generation` too.

The bug was caused by the batch_size containing both the incoming batch
**and** the generated `num_sequences`.

The fix simply consists into splitting both of these again into
different dimensions.

* TF support.

* Odd backward compatibility script in the way.","['src/transformers/pipelines/text2text_generation.py', 'src/transformers/pipelines/text_generation.py', 'tests/test_pipelines_text2text_generation.py', 'tests/test_pipelines_text_generation.py']","`batch_size` in `text-generation` pipeline incorrectly includes both incoming batch and generated `num_sequences`, affecting both text-generation and text2text-generation functionality."
07c54413ac24f891fc37920f6c61ad8b7b035dc3,1685698622,"Add MobileViTv2 (#22820)

* generated code from add-new-model-like

* Add code for modeling, config, and weight conversion

* add tests for image-classification, update modeling and config

* add code, tests for semantic-segmentation

* make style, make quality, make fix-copies

* make fix-copies

* Update modeling_mobilevitv2.py

fix bugs

* Update _toctree.yml

* update modeling, config

fix bugs

* Edit docs - fix bug MobileViTv2v2 -> MobileViTv2

* Update mobilevitv2.mdx

* update docstrings

* Update configuration_mobilevitv2.py

make style

* Update convert_mlcvnets_to_pytorch.py

remove unused options

* Update convert_mlcvnets_to_pytorch.py

make style

* Add suggestions from code review

Co-Authored-By: amyeroberts <22614925+amyeroberts@users.noreply.github.com>

* make style, make quality

* Add suggestions from code review

Co-Authored-By: amyeroberts <22614925+amyeroberts@users.noreply.github.com>

* Add suggestions from code review

Remove MobileViTv2ImageProcessor

Co-Authored-By: amyeroberts <22614925+amyeroberts@users.noreply.github.com>

* make style

* Add suggestions from code review

Rename MobileViTv2 -> MobileViTV2

Co-Authored-By: amyeroberts <22614925+amyeroberts@users.noreply.github.com>

* Add suggestions from code review

Co-Authored-By: amyeroberts <22614925+amyeroberts@users.noreply.github.com>

* Update modeling_mobilevitv2.py

make style

* Update serialization.mdx

* Update modeling_mobilevitv2.py

---------

Co-authored-by: amyeroberts <22614925+amyeroberts@users.noreply.github.com>","['src/transformers/__init__.py', 'src/transformers/models/__init__.py', 'src/transformers/models/auto/configuration_auto.py', 'src/transformers/models/auto/image_processing_auto.py', 'src/transformers/models/auto/modeling_auto.py', 'src/transformers/models/mobilevitv2/__init__.py', 'src/transformers/models/mobilevitv2/configuration_mobilevitv2.py', 'src/transformers/models/mobilevitv2/convert_mlcvnets_to_pytorch.py', 'src/transformers/models/mobilevitv2/modeling_mobilevitv2.py', 'src/transformers/utils/dummy_pt_objects.py', 'tests/models/mobilevitv2/test_modeling_mobilevitv2.py']","Issues faced in integrating new model MobileViTv2 to the system, including bugs in configuration and modeling code. Documentation also contains incorrect or inconsistent naming conventions."
0a057201a96565df29984d716f660fd8d634329a,1647330432,"Visual Attention Network (VAN) (#16027)

* encoder works

* addded files

* norm in stage

* convertion script

* tests

* fix copies

* make fix-copies

* fixed __init__

* make fix-copies

* fix

* shapiro test needed

* make fix-copie

* minor changes

* make style + quality

* minor refactor conversion script

* rebase + tests

* removed unused variables

* updated doc

* toctree

* CI

* doc

* Apply suggestions from code review

Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>

* resolved conversations

* make fixup

* config passed to modules

* config passed to modules

* Apply suggestions from code review

Co-authored-by: NielsRogge <48327001+NielsRogge@users.noreply.github.com>

* conversations

* conversations

* copyrights

* normal test

* tests

Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>
Co-authored-by: NielsRogge <48327001+NielsRogge@users.noreply.github.com>","['src/transformers/__init__.py', 'src/transformers/models/__init__.py', 'src/transformers/models/auto/configuration_auto.py', 'src/transformers/models/auto/feature_extraction_auto.py', 'src/transformers/models/auto/modeling_auto.py', 'src/transformers/models/van/__init__.py', 'src/transformers/models/van/configuration_van.py', 'src/transformers/models/van/convert_van_to_pytorch.py', 'src/transformers/models/van/modeling_van.py', 'src/transformers/testing_utils.py', 'src/transformers/utils/dummy_pt_objects.py', 'tests/van/test_modeling_van.py']","The Visual Attention Network (VAN) seems to have unresolved issues which include conversion script error. Also, unnecessary variables are cluttering the code and documentation is out of date.
"
0b5c7e4838fddeb4601acbb80cd2c71ddcf76726,1663271616,"Adds package and requirement spec output to version check exception (#18702)

* Adds package and requirement spec output to version check exception

It's difficult to understand what package is affected when `got_ver`
here comes back None, so output the requirement and the package. The
requirement probably contains the package but let's output both for good
measure.

Non-exhaustive references for this problem aside from my own encounter:

* https://stackoverflow.com/questions/70151167/valueerror-got-ver-is-none-when-importing-tensorflow
* https://discuss.huggingface.co/t/valueerror-got-ver-is-none/17465
* https://github.com/UKPLab/sentence-transformers/issues/1186
* https://github.com/huggingface/transformers/issues/13356

I speculate that the root of the error comes from a conflict of
conda-managed and pip-managed Python packages but I've not yet proven
this.

* Combines version presence check and streamlines exception message

See also: https://github.com/huggingface/transformers/pull/18702#discussion_r953223275

Co-authored-by: Stas Bekman <stas@stason.org>",['src/transformers/utils/versions.py'],"`got_ver` returns None for a package during version check, resulting in unclear identification of the affected package. The issue is speculated to stem from a conflict between conda-managed and pip-managed Python packages."
1025a9b74291b8256357476e554e252658217e11,1649667970,"add a warning in `SpmConverter` for sentencepiece's model using the byte fallback feature  (#16629)

* update proto sentencepiece model

* Revert ""update proto sentencepiece model""

This reverts commit b07f671747fec35773d0b3d4788b8b15aefa0229.

* add check

* add test

* Revert ""Revert ""update proto sentencepiece model""""

This reverts commit 46108257b8927b73627ec8f4f3eed53a95fc700d.

* test for log level

* test for log level 2

* warning at the warning level

* clean

* format

* add explanation in docstring","['src/transformers/convert_slow_tokenizer.py', 'src/transformers/utils/sentencepiece_model_pb2.py', 'tests/utils/test_convert_slow_tokenizer.py']",The `SpmConverter` fails to issue a warning when SentencePiece's model resorts to using the byte fallback feature.
11b2e45ccc569f8ef8a8e4dfcb4c80af7fee0335,1668506698,"[WHISPER] Update modeling tests (#20162)

* Update modeling tests

* update tokenization test

* typo

* nit

* fix expected attention outputs

* Apply suggestions from code review

Co-authored-by: Sanchit Gandhi <93869735+sanchit-gandhi@users.noreply.github.com>

* Update tests from review

Co-authored-by: Sanchit Gandhi <93869735+sanchit-gandhi@users.noreply.github.com>
Co-authored-by: ydshieh <ydshieh@users.noreply.github.com>

* remove problematics kwargs passed to the padding function

Co-authored-by: Sanchit Gandhi <93869735+sanchit-gandhi@users.noreply.github.com>
Co-authored-by: ydshieh <ydshieh@users.noreply.github.com>","['src/transformers/models/whisper/feature_extraction_whisper.py', 'tests/models/whisper/test_modeling_tf_whisper.py', 'tests/models/whisper/test_modeling_whisper.py', 'tests/models/whisper/test_tokenization_whisper.py']",The modeling and tokenization tests are outdated and erroneous kwargs are being passed to the padding function causing issues.
125a2882b4997f8ad37beadb8a025114f0f0e1a0,1643660531,"Update modeling_wav2vec2.py (#15423)

* Update modeling_wav2vec2.py

With very tiny sound files (less than 0.1 seconds) the num_masked_span can be too long. The issue is described in issue #15366 and discussed with @patrickvonplaten.

* correct errors with mask time indices

* remove bogus file

* make fix-copies

Co-authored-by: Patrick von Platen <patrick.v.platen@gmail.com>","['src/transformers/models/hubert/modeling_hubert.py', 'src/transformers/models/sew/modeling_sew.py', 'src/transformers/models/sew_d/modeling_sew_d.py', 'src/transformers/models/unispeech/modeling_unispeech.py', 'src/transformers/models/unispeech_sat/modeling_unispeech_sat.py', 'src/transformers/models/wav2vec2/modeling_wav2vec2.py', 'src/transformers/models/wavlm/modeling_wavlm.py', 'tests/test_modeling_wav2vec2.py']",Encountering issues with tiny sound files (less than 0.1 seconds) in wav2vec2 model as the num_masked_span can become excessively long.
12b4d66a80419db30a15e7b9d4208ceb9887c03b,1633379332,"Update no_* argument (HfArgumentParser) (#13865)

* update no_* argument

Changes the order so that the no_* argument is created after the original argument AND sets the default for this no_* argument to False

* import copy

* update test

* make style

* Use kwargs to set default=False

* make style","['src/transformers/hf_argparser.py', 'tests/test_hf_argparser.py']","The creation order of no_* argument in HfArgumentParser causes issues, and the no_* argument defaults are inconsistent."
13254591054630b08d1a1338aa5ca9674d2513ed,1677777139,"Refactor whisper asr pipeline to include language too. (#21427)

* [WIP] whisper refacto to support language output.

* Handling merges.

* A bit more cleanup and comments.

* Many improvements.

Lots of details everywhere.

* Cleanup old code and tests.

* Handle lone timestamp tokens (just recover when something bad happens).

* Adding return_language example.

* No ffmpeg.

* Hmm.

* Some corrections.

* Both fast and slow.

* New black.

* Update src/transformers/models/whisper/tokenization_whisper.py

Co-authored-by: Arthur <48595927+ArthurZucker@users.noreply.github.com>

* Update src/transformers/models/whisper/tokenization_whisper.py

Co-authored-by: Arthur <48595927+ArthurZucker@users.noreply.github.com>

* Remove print.

* Undoing tests modifications.

* Smaller test modifications.

* Rename.

* Remove maxDiff.

---------

Co-authored-by: Arthur <48595927+ArthurZucker@users.noreply.github.com>","['src/transformers/models/whisper/tokenization_whisper.py', 'src/transformers/models/whisper/tokenization_whisper_fast.py', 'src/transformers/pipelines/automatic_speech_recognition.py', 'tests/models/whisper/test_tokenization_whisper.py', 'tests/pipelines/test_pipelines_automatic_speech_recognition.py']",Whisper ASR pipeline currently lacks language output support. This makes handling language specific features and compatibility harder.
135703816441bdba59dd5154e293a5946ad538d5,1655899899,"Add logits_processor parameter, used by `generate`, to `Seq2SeqTrainer` methods `evaluate` and `predict` (#17805)

* Add logits_processor parameter, used by `generate`, to `Seq2SeqTrainer` methods `evaluate` and `predict`

* Add all generate parameters to `Seq2SeqTrainer`, and also to `QuestionAnsweringSeq2SeqTrainer` which overrides it

* Remove `self._num_beams` from trainer classes

* - Run fixup
- Fix ""Constraint"" not exposed
- Fix synced_gpus to actually read from param

* Use kwargs

* Copy kwargs before making changes to it

* Fix style issues unused imports","['examples/pytorch/question-answering/trainer_seq2seq_qa.py', 'src/transformers/trainer_seq2seq.py']","Seq2SeqTrainer methods 'evaluate' and 'predict' are missing the logits_processor parameter, leading to inconsistencies with method 'generate'. Lack of all generate parameters in Seq2SeqTrainer and QuestionAnsweringSeq2SeqTrainer may cause function override issues.
"
