commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
bad83008377bf01a34ac2e08c74e7da89eaf4e07,1676403572,"Error (also in original) model, scaling only q matrix not qk.T dot product (qk.T/sqrt(dim_per_head)) (#21627)

* Error in model, scaling only q matrix not qK.T dot product (qk.T/sqrt(dim_per_head))

As per Vaswani et al, 2017 p.4
Is torch.matmul(q, k.transpose(2, 3)) / math.sqrt(dim_per_head) not q / math.sqrt(dim_per_head)
https://arxiv.org/pdf/1912.05372.pdf

Error was in original FlauBERT repo and effectively scales queries but not values
cf. https://github.com/getalp/Flaubert/pull/45/commits/6d176880ca3a1a8dfa2b76c97030bb51c5e917b8

* Update modeling_flaubert.py

Update to https://github.com/huggingface/transformers/pull/21627
make fixup
make repo_consistency

* Update modeling_xlm.py

* Update modeling_flaubert.py

* Update modeling_xlm.py","['src/transformers/models/flaubert/modeling_flaubert.py', 'src/transformers/models/xlm/modeling_xlm.py']","Incorrect scaling only on q matrix and not on qk.T dot product in FlauBERT model as per Vaswani's method (p.4, 2017), causing inaccurate results."
392740452e86ee6ca523b92bc4ef8527ed4e7a16,1688635596,"Add dropouts to GPT-NeoX (#24680)

* add attention dropout, post attention dropout, post mlp dropout to gpt-neox

* fix typo

* add documentation

* fix too long line

* ran Checking/fixing src/transformers/models/gpt_neox/configuration_gpt_neox.py src/transformers/models/gpt_neox/modeling_gpt_neox.py
python utils/custom_init_isort.py
python utils/sort_auto_mappings.py
doc-builder style src/transformers docs/source --max_len 119 --path_to_docs docs/source
python utils/check_doc_toc.py --fix_and_overwrite
running deps_table_update
updating src/transformers/dependency_versions_table.py
python utils/check_copies.py
python utils/check_table.py
python utils/check_dummies.py
python utils/check_repo.py
Checking all models are included.
Checking all models are public.
Checking all models are properly tested.
Checking all objects are properly documented.
Checking all models are in at least one auto class.
Checking all names in auto name mappings are defined.
Checking all keys in auto name mappings are defined in `CONFIG_MAPPING_NAMES`.
Checking all auto mappings could be imported.
Checking all objects are equally (across frameworks) in the main __init__.
python utils/check_inits.py
python utils/check_config_docstrings.py
python utils/check_config_attributes.py
python utils/check_doctest_list.py
python utils/update_metadata.py --check-only
python utils/check_task_guides.py","['src/transformers/models/gpt_neox/configuration_gpt_neox.py', 'src/transformers/models/gpt_neox/modeling_gpt_neox.py']","GPT-NeoX lacks attention, post attention, and post MLP dropout settings resulting in less optimal model performance."
14b04b4b9c483d94fadd2b5479ed9430bae8ac84,1697473665,"Conversation pipeline fixes (#26795)

* Adjust length limits and allow naked conversation list inputs

* Adjust length limits and allow naked conversation list inputs

* Maybe use a slightly more reasonable limit than 1024

* Skip tests for old models that never supported this anyway

* Cleanup input docstrings

* More docstring cleanup + skip failing TF test

* Make fixup","['src/transformers/pipelines/conversational.py', 'tests/models/bart/test_modeling_bart.py', 'tests/models/bart/test_modeling_tf_bart.py', 'tests/models/t5/test_modeling_t5.py', 'tests/models/t5/test_modeling_tf_t5.py']","Issues in conversation pipeline related to length limits, unsupported models, and inaccurate docstrings."
38043d8453b82a9c712f8d5c98323150fbee7503,1652452080,"Update self-push workflow (#17177)

* update push ci

* install git-python

* update comment

* update deepspeed jobs

* fix report

* skip 2 more tests that require fairscale

* Fix changes in test_fetcher.py (to deal with `setup.py` is changed)

* set RUN_PT_TF_CROSS_TESTS=1 and final clean-up

* remove SIGOPT_API_TOKEN

* remove echo ""$matrix_folders""

Co-authored-by: ydshieh <ydshieh@users.noreply.github.com>","['tests/extended/test_trainer_ext.py', 'utils/notification_service.py', 'utils/tests_fetcher.py']","CI workflow is not updated with latest changes, causing errors in report generation and failure for tests requiring fairscale. Additionally, certain environment variables and parameters are unnecessarily included in the current setup leading to potential data leaks."
587d84b1784cce30c59a12faee2a672bac49bbdd,1664898733,"Add `BloomForQuestionAnswering` (#19310)

* add bloom for question answering

- attempt to add Bloom for question answering
- adapted from `GPTJForQuestionAnswering`
- Fixed `num_labels` to `2` for common tests
- Added a bit of docstring
- All common tests pass

* Update src/transformers/models/bloom/modeling_bloom.py

Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>

* revert changes related to `num_labels`

Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>","['src/transformers/__init__.py', 'src/transformers/models/auto/modeling_auto.py', 'src/transformers/models/bloom/__init__.py', 'src/transformers/models/bloom/modeling_bloom.py', 'src/transformers/utils/dummy_pt_objects.py', 'tests/models/bloom/test_modeling_bloom.py']","Bloom model lacks an implementation for question answering, which is present in other models like `GPTJForQuestionAnswering`."
6a3d1a98e031a09e7783134ae76dc6f8a358d568,1675363913,"Fixes bug in the creation of ExponentialDecayLengthPenalty (#21423)

input_ids_seq_length doesn't exist in the GenerationConfig, it exists as local variable in the function.

Setting exponential_decay_length_penalty therefore results in an error:
`AttributeError: 'GenerationConfig' object has no attribute 'input_ids_seq_length'`

This simple change fixes this issue, and the exponential_decay_length_penalty works as expected.",['src/transformers/generation/utils.py'],'GenerationConfig' object throws an AttributeError when setting the 'exponential_decay_length_penalty' due to non-existing attribute 'input_ids_seq_length'.
fbf382c84da4506484a23e85bd8540da5192ff4e,1661437894,"Determine framework automatically before ONNX export (#18615)

* Automatic detection for framework to use when exporting to ONNX

* Log message change

* Incorporating PR comments, adding unit test

* Adding tf for pip install for run_tests_onnxruntime CI

* Restoring past changes to circleci yaml and test_onnx_v2.py, tests moved to tests/onnx/test_features.py

* Fixup

* Adding test to fetcher

* Updating circleci config to log more

* Changing test class name

* Comment typo fix in tests/onnx/test_features.py

Co-authored-by: lewtun <lewis.c.tunstall@gmail.com>

* Moving torch_str/tf_str to self.framework_pt/tf

* Remove -rA flag in circleci config

Co-authored-by: lewtun <lewis.c.tunstall@gmail.com>","['src/transformers/onnx/__main__.py', 'src/transformers/onnx/features.py', 'tests/onnx/test_features.py', 'utils/tests_fetcher.py']","Framework for exporting to ONNX is not being detected automatically, causing potential incompatibilities or errors during the process."
1baeed5bdf3c58b723a6125632567f97bdf322c6,1690980234,"Fix return_dict_in_generate bug in InstructBlip generate function (#25246)

Fix bug in InstructBlip generate function

Previously, the postprocessing conducted on generated sequences in InstructBlip's generate function assumed these sequences were tensors (i.e. that `return_dict_in_generate == False`).

This commit checks whether the result of the call to the wrapped language model `generate()` is a tensor, and if not attempts to postprocess the sequence attribute of the returned results object.",['src/transformers/models/instructblip/modeling_instructblip.py'],"InstructBlip's generate function incorrectly assumes postprocessing sequences to be tensors, leading to potential bugs when `return_dict_in_generate == True`."
d25e25ee2b63ebfcd099deb689a5a7272574a10f,1643392523,"Add XGLM models (#14876)

* add xglm

* update vocab size

* fix model name

* style and tokenizer

* typo

* no mask token

* fix pos embed compute

* fix args

* fix tokenizer

* fix positions

* fix tokenization

* style and dic fixes

* fix imports

* add fast tokenizer

* update names

* add pt tests

* fix tokenizer

* fix typo

* fix tokenizer import

* fix fast tokenizer

* fix tokenizer

* fix converter

* add tokenizer test

* update checkpoint names

* fix tokenizer tests

* fix slow tests

* add copied from comments

* rst -> mdx

* flax model

* update flax tests

* quality

* style

* doc

* update index and readme

* fix copies

* fix doc

* update toctrr

* fix indent

* minor fixes

* fix config doc

* don't save embed_pos weights

* Apply suggestions from code review

Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>
Co-authored-by: Patrick von Platen <patrick.v.platen@gmail.com>

* address Sylvains commnets, few doc fixes

* fix check_repo

* align order of arguments

* fix copies

* fix labels

* remove unnecessary mapping

* fix saving tokenizer

Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>
Co-authored-by: Patrick von Platen <patrick.v.platen@gmail.com>","['src/transformers/__init__.py', 'src/transformers/convert_slow_tokenizer.py', 'src/transformers/models/__init__.py', 'src/transformers/models/auto/configuration_auto.py', 'src/transformers/models/auto/modeling_auto.py', 'src/transformers/models/auto/modeling_flax_auto.py', 'src/transformers/models/xglm/__init__.py', 'src/transformers/models/xglm/configuration_xglm.py', 'src/transformers/models/xglm/modeling_flax_xglm.py', 'src/transformers/models/xglm/modeling_xglm.py', 'src/transformers/models/xglm/tokenization_xglm.py', 'src/transformers/models/xglm/tokenization_xglm_fast.py', 'src/transformers/utils/dummy_flax_objects.py', 'src/transformers/utils/dummy_pt_objects.py', 'src/transformers/utils/dummy_sentencepiece_objects.py', 'src/transformers/utils/dummy_tokenizers_objects.py', 'tests/test_modeling_flax_xglm.py', 'tests/test_modeling_xglm.py', 'tests/test_tokenization_xglm.py', 'utils/check_repo.py']","Implements XGLM models exhibiting multiple errors and inconsistencies; issues with tokenizers, style, ordering and label handling, failing tests, incorrect imports, difficulties in argument alignment, documentation inaccuracies, and problems saving tokenizers."
dcca71be6151c04ec89116d3275f7173b7936601,1666955141,"Create dummy models (#19901)

* create dummy models

* quality

* update

* update

* Make Wav2Vec2Conformer work

* style

* deal with models with text_config and vision_config

* apply suggestions

* Composite models

* style

* style

* fix shape issue

* fix shape issue

* For VisionTextDualEncoderModel

* show_progress=False when converting tokenizers

* Fix for OwlViT

* Fix for VisualBert

* Update

* final

Co-authored-by: ydshieh <ydshieh@users.noreply.github.com>","['utils/check_config_docstrings.py', 'utils/create_dummy_models.py']","Issues in various models (Wav2Vec2Conformer, OwlViT, VisualBert, and VisionTextDualEncoderModel) including incorrect shapes, failure in converting tokenizers, problems with text_config and vision_config, and lack of functioning with dummy models."
