commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
011dc750436827b37c9512d892bada1d54ba4234,1485416786,"Add `broadcast!(identity, ::Array, ::Array)` specialization

Improves performance of `y .= x` for `Array`s `x` and `y` of the same
size by delegating to `copy!`.
",['base/broadcast.jl'],"Performance issue with the operation `y .= x` for same-sized `Array`s `x` and `y`, it's not executing as efficiently as it could."
0371bf44bf6bfd6ee9fbfc32d478c2ff4c97b08b,1673717908,"In string search, replace unsafe_wrap with codeunits (#48275)

Currently, `findfirst(::String, ::String)` will eventually end up calling
`unsafe_wrap` on both arguments, in order to use Julia's generic vector search
functions. This causes unnecessary allocations.

This PR replaces use of `unsafe_wrap` with `codeunits`, removing the allocation.

See also: #45393",['base/strings/search.jl'],"Unnecessary allocations when `findfirst(::String, ::String)` is called, due to `unsafe_wrap` being used for arguments in Julia's generic vector search functions."
0968929b58f9595bfaa7842f8870586367aaba82,1641948466,"Add some comments to `Make.inc` that explicitly define what we mean when we say ""assert build of Julia"" (#43732)

* Add some comments to `Make.inc` that explicitly define what we mean when we say ""assert build of Julia""
* Add a brief note to the devdocs with instructions on how to build an ""assert build"" of Julia
* Recommend putting the variables into the `Make.user` file",['Make.inc'],"Lack of clear definitions and instructions on how to build an ""assert build"" of Julia in `Make.inc` and devdocs."
0a8cb385a1491efd1c85305e52171c6a9d40b19c,1468258191,"use -O0 mode for compilation

it's rarely useful to run in -O2 mode when compiling code,
since that work is usually thrown away quickly,
but potentially greatly slowing down the precompilation process
","['base/loading.jl', 'base/pkg/entry.jl']",Using -O2 mode for compilation slows down the precompilation process and the work is usually discarded quickly.
0c223f8c4ac54cf82b8cc3dc0058784c57bfc56f,1463715873,"credentials callback overhaul
- handle https & ssh connections
- new credential types

added caching of credentials in `update`
added cross-platform `getpass` implementation [#8228]
added comments and documentation
show last saved value for pub/priv key path instead of default key path
move `getpass` to `Base`
introduced SSH credential type for cached credentials
changed PK variable to `SSH_KEY_PATH`, added PbK guessing from PK
","['base/libgit2/callbacks.jl', 'base/libgit2/consts.jl', 'base/libgit2/types.jl', 'base/libgit2/utils.jl', 'base/pkg/entry.jl', 'base/util.jl', 'test/libgit2-online.jl', 'test/libgit2.jl']","Issues with handling credentials in both https & ssh connections, including lack of caching, insufficient documentation, and absence of cross-platform password entry. Saved values for public/private key paths are not displayed correctly. SSH credential type needed for better handling of cached credentials."
0c388fc340cc6db7f531ec3ff5b172e55ff8ceb4,1588882331,"RFC: treat small negative λ as 0 for sqrt(::Hermitian) (#35057)

* treat small negative λ as 0 for sqrt(::Hermitian) and log(::Hermitian)

* typo

* added tests, docs; removed rtol argument for log

* don't ask for rtol so close to eps(Float64)","['stdlib/LinearAlgebra/src/dense.jl', 'stdlib/LinearAlgebra/src/symmetric.jl', 'stdlib/LinearAlgebra/test/symmetric.jl']",The sqrt() and log() functions are returning incorrect values when applied to Hermitian matrices with small negative eigenvalues.
131813f1bb91a219d297908132972420352770e9,1518452867,"missing @inbounds in copyto! (#25991)

It seemed like this line should have an `@inbounds` call since the previous code already called `checkbounds`.",['base/abstractarray.jl'],Missing `@inbounds` in `copyto!` function results in unnecessary bounds-check even after a prior `checkbounds` call.
14a4feda57839182244881da0cebebf80126a37a,1458123042,"Use ""sidebars"" for markdown tables.

Adds `|` columns on each side of markdown tables to avoid trailing
whitespace problems in rendered documents. This is still valid markdown.

This does not change the parsing of markdown tables, which can still
be written without the `|` columns on each side.
","['base/markdown/GitHub/table.jl', 'test/markdown.jl']","Markdown tables without ""|"" columns on either side cause trailing whitespace problems in the rendered documents."
14e9c4261ec04aa45b46868f428bcecf9a8e04bb,1523297160,"Also lift SelectInst addrspaces

This is a followup to #26668, and performs the same operation,
but for `select` instructions rather than for phi nodes.
Came up when looking at IR generated by the new optimizer for
kf/iterate.
","['src/llvm-propagate-addrspaces.cpp', 'test/llvmpasses/propagate-addrspace.ll']",Select instruction address spaces not being lifted can potentially cause issues when examining IR generated by the new optimizer for kf/iterate.
1799ae655eb50504b85ddd16708650d63ce0dfd5,1637391117,"optimizer: some cosmetic improvements on inlining code (#43115)

- remove an unnecessary field and allocation
- make the signature order consistent across the file:
  `ir::IRCode, idx::Int, stmt, rt, info, flag::UInt8, sig::Signature, state::InliningState, todo::Vector{Pair{Int, Any}}`
- pass the same `stmt::Expr` object and slightly improve its type-stability",['base/compiler/ssair/inlining.jl'],Inconsistencies in signature order and type-stability issues in the optimizer's inlining code. Unnecessary field and allocation present.
1859a91231aff6561976e1c2ed49c40ff008c5ba,1531463762,"Adjust initialization in maximum and minimum (#27845)

* Adjust initialization in maximum and minimum

Fixes #27836

* Reduce to first element in index range for OffsetArrays

* Adjust mapreduce to use first element in offset range as well.

Adjust tests

* Avoid defining global Areduc variable in reducedim tests

* Add comment in mapslices to explain the wrapping of scalars
","['base/abstractarray.jl', 'base/reducedim.jl', 'stdlib/SparseArrays/src/sparsematrix.jl', 'stdlib/SparseArrays/test/higherorderfns.jl', 'test/offsetarray.jl', 'test/reducedim.jl']","OffsetArrays and mapreduce functions are not initializing with the first element in offset range, causing unexpected values for maximum and minimum."
1a12495e3a6969a7a8276dde2f227fc6793b3e18,1619439507,"REPL: Fix incorrect docstring for .. (#40563) (#40607)

This PR fixes #40563 .
This is essentially a mirror of #39975 . Please refer to it for more information.","['stdlib/REPL/src/docview.jl', 'stdlib/REPL/test/repl.jl']","The docstring for "".."" in the REPL is incorrect, potentially misleading users about its functionality."
1b675b1ed5272574fb945f3923d9271660f7d8f1,1662174510,"inlining: Add an option to not generate compilesig :invoke statements (#46612)

In general, when we inline we may change which MethodInstance to invoke
to avoid over-specializing. This makes sense when generating IR to
be codegen-ed, but makes less sense when we are using inlining as
part of a code analysis pipeline, since the compilesig signature
will often have not been inferred yet. Add an optimizer option to
turn on/off generation of compilesig :invokes.","['base/compiler/ssair/inlining.jl', 'base/compiler/types.jl']","When employing inlining as part of a code analysis pipeline, changing the MethodInstance to invoke before the compilesig signature is inferred may cause over-specialization issues."
1b9f640c160f4f364063a6b2b2e798a93c123abd,1673994728,"namedtuple: Use correct return type in merge/diff (#48290)

In a lapse of memory, I had assumed that NamedTuple was covariant
like Tuple, but since this is not the case, we do actually need
to pass the types into the constructor. However, the main
constructor for NamedTuple has an extra `convert` call to the
declared tuple type. This call is problematic for effects, because
the type is unknown. For the merge/diff case, we are
guaranteed that the convert is a no-op, but the compiler's analysis
is not strong enough to prove this. Work around that by
introducing an `_NamedTuple` constructor that bypasses the
unnecessary convert to make sure that the compiler can prove
sufficiently strong effects.","['base/namedtuple.jl', 'test/namedtuple.jl']","The merge/diff function in NamedTuple is not using the correct return type due to assumptions about covariance, leading to problematic conversions especially in terms of compiler's analysis of effects."
1d6b7fd4e5b11c976792430644fe07dc2c320301,1505605097,"Add credential approval/rejection

Only save credentials to the cache when they are used successfully.
Credentials that trigger an EAUTH exception will be removed from the
cache.

Note: Modifications to the credential field in the CredentialPayload
should not modify cached credentials until they are approved.
","['base/libgit2/callbacks.jl', 'base/libgit2/libgit2.jl', 'base/libgit2/types.jl', 'base/libgit2/utils.jl', 'test/libgit2-helpers.jl']","Credentials triggering an EAUTH exception are not being removed from the cache, causing potential conflicts. Cached credentials are being modified before approval confirmation is received."
1dc380411545627d7e8af51b87d1bafaceade194,1609784464,"Small drive-by cleanup: Make constant explicit (#39056)

This code is a bit of a leftover from when we still had `nfields(::Type)`,
but at this point it was always just returning the number of fields
of `DataType`. I was a bit confused by this code, so I thought
just using `jl_datatype_t` here explicitly makes clear that it does
actually just return said constant.",['src/codegen.cpp'],"The code in question returns number of fields of `DataType` implicitly, causing confusion about its actual functionality."
