commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
cbefb9bec88760739a093ac5410575bf1f6dc30f,1466649811,"Consistently refer to Julia over julia

The manual would sometimes refer to the language as either ""Julia"" or
""julia"". This commit changes references to the Julia language as ""Julia""
and any reference to the command line program as `julia`.
",['ui/repl.c'],"The manual is inconsistently referring to the Julia language as either ""Julia"" or ""julia"", causing potential confusion."
49118535b31c832af18f01ef4d331525b24d24c0,1562015422,"Support non-BB LLVM build for Emscripten

When targeting Emscripten/wasm, we were in the odd position that
we had BinaryBuilder support, but not in-tree support for building
LLVM. Unfortunately, the BinaryBuilder version has recently stopped
working due to ABI changes in Emscripten. Use that as an opportunity
to backfill the requisite definitions to make an in-tree build of
LLVM work on Emscripten.
",['deps/llvm.mk'],"ABI changes in Emscripten have caused the BinaryBuilder version to stop functioning, leading to a deficiency in in-tree support for building LLVM when targeting Emscripten/wasm."
ab520c738216fb8e22fce7bf2bc5f03edf0cceaf,1593181862,"Add hook in inference recursion resolution for external AbstractInterpreter (#36401)

This extends hookability to the same-frame comparison in inference's
recursion cycle detection. The case I ran into that made this necessary
is a recursive, nested AD transform. In this case, inference must detect
if two frames have different orders of derivatives (e.g. the primitive
for `-`, again calls `-`; the external interpreter makes sure that
inference results for these end up in different caches).","['base/compiler/inferencestate.jl', 'base/compiler/typeinfer.jl']",Inference's recursion cycle detection cannot distinguish between frames with different orders of derivatives leading to incorrect caching in nested AD transforms.
01310a985c4659fa7d73c05126afede75994de9b,1665668111,"`map` of unequal length bitarray (#47013)

* fix `bit_map!` with unequal length.
* relax three-arg `bit_map!`.
* add bit array test for unequal length.

Co-authored-by: N5N3 <2642243996@qq.com>
Co-authored-by: Cameron Bieganek <8310743+CameronBieganek@users.noreply.github.com>","['base/bitarray.jl', 'test/bitarray.jl']",`bit_map!` function fails when trying to map bit arrays of unequal lengths.
899fde098d44f4c6ce6bf193e9809cdcdf1854d9,1515749552,"add link to release notes on first page of manual (#25476)

* add link to release notes on first page of manual

* Update make.jl

* change wording
",['doc/make.jl'],The first page of the manual lacks a direct link to the release notes.
da7676d27a6af011924e7929cf4debc9ded90e0f,1647318589,"make `Base.return_types` interface similar to `code_typed` (#44533)

Especially, it should be more consistent with the other reflection
utilities defined in reflection.jl if the optional
`interp::AbstractInterpreter` argument is passed as keyword one.
","['base/reflection.jl', 'test/compiler/AbstractInterpreter.jl']","`Base.return_types` doesn't employ similar interface to `code_typed`, causing an inconsistency when optional `interp::AbstractInterpreter` argument is passed as keyword."
098ef24c7acb989cae2516ac18bff498e9a69554,1587596990,"fix latest LLVM 11 compatibility issues (#35329)

* fix latest LLVM 11 compatibility issues

Changes in LLVM:
- `CompositeType` and `SequentialType` classes have been removed
- `FileLineInfoSpecifier::Default` has been renamed to `RawValue`
- `CreateMemCpy` now takes `MaybeAlign`s instead of `unsigned`s
- deprecated overloads of `IRBuilder::CreateCall` and `CallInst::Create` have
  been removed
- `CallSite` class has been removed

Co-authored-by: Valentin Churavy <v.churavy@gmail.com>","['src/ccall.cpp', 'src/cgutils.cpp', 'src/codegen.cpp', 'src/disasm.cpp', 'src/intrinsics.cpp', 'src/jitlayers.cpp', 'src/llvm-alloc-opt.cpp', 'src/llvm-late-gc-lowering.cpp']","Recent changes in LLVM 11, such as removal of certain classes and renaming or removing of several methods, have caused compatibility issues with our software."
3fa9b9c81f321dee95f0a9a150bcb086cf6dba56,1507608266,"init task system first (#24066)

This has no dependencies on the rest of julia_init,
but later functionality (like __init__) may want to be able to use Tasks",['src/task.c'],Initialization order in julia_init problematic; other functionality such as __init__ may require the task system which isn't yet initialized.
34f7a4a50458594e6d72793b4f371227e8e842e3,1546900587,"Defensively fix patterns similar to #29983

I don't have concrete tests for these, but it looks like
they all need the `is_old` predicate for what they're doing,
so switch those over also while we're at it.
",['base/compiler/ssair/passes.jl'],"Several patterns similar to issue #29983 may potentially lack the 'is_old' predicate, possibly leading to unexpected behavior."
b238945ccd35d3ddc6c6aa5c7a0ab09210d5424e,1558376711,"Print macro definitions Exprs as readable julia code (#32083)

Rather than printing in bare ""Expr(:macro, ...)"" form, this prints them
as blocks, following the way that printing of function expressions
works.","['base/show.jl', 'test/show.jl']","Macro definitions are not printed in a human-readable format, but in bare ""Expr(:macro, ...)"" form, lacking consistency with the presentation of function expressions."
