commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
0809553cf0caaac6744a5d2561512bd6b433bfa5,1637354236,"refactor assert_close to be more modular (#67794)

Summary:
Pull Request resolved: https://github.com/pytorch/pytorch/pull/67794

This change is needed to conveniently use the same comparison mechanism for our internal testsuite (see #67796). The reworked version is on par with the previous version except for the ability to pass a custom message as callable. Before we converted everything to a tensor so it was fairly easy to provide consistent mismatch diagnostics to the callable. Now, with arbitrary `Pair`'s that are used for comparison that is no longer viable.

Test Plan: Imported from OSS

Reviewed By: ngimel

Differential Revision: D32532206

Pulled By: mruberry

fbshipit-source-id: dc847fba6a795c1766e01bc3e88b680a68287b1e
","['test/test_testing.py', 'torch/jit/_trace.py', 'torch/testing/__init__.py', 'torch/testing/_asserts.py', 'torch/testing/_comparison.py']","Refactor of assert_close hampered the ability to pass a custom message as callable due to the use of arbitrary comparison `Pair`s, causing inconsistencies with mismatch diagnostics."
091177516ec664024d95810f46feca82b686a27b,1680306352,"Rearrange the fields in at::OperandInfo to reduce padding. (#98037)

Summary:
Rearrange the fields in at::OperandInfo to reduce padding.

The current class layout is {64,3,1,1,8,1,1,1,16,16,8,8}. Moving the 5th
element in the class allows the small bytes/bools to be packed together.

This class is frequently read from places like the stack trace below, so
compacting the class could speed things up.

c10/util/MaybeOwned.h:198 operator*
aten/src/ATen/TensorIterator.h:187 tensor_base
aten/src/ATen/TensorIterator.h:322 tensor_base
aten/src/ATen/TensorIterator.cpp:1194 compute_mem_overlaps
aten/src/ATen/TensorIterator.cpp:1475 build

Test Plan: Rely on unit tests.

Differential Revision: D44559604

Pull Request resolved: https://github.com/pytorch/pytorch/pull/98037
Approved by: https://github.com/swolchok
",['aten/src/ATen/TensorIterator.h'],"The current arrangement of fields in 'at::OperandInfo' class is causing extra padding, which could potentially slow down operations involving frequent reads from this class."
096089abcb79fad91630a748c4c223194bd4a581,1619027889,"[quant][graphmode][fx] Produce torch.cat instead of torch.ops.quantized.cat (#54924)

Summary:
Pull Request resolved: https://github.com/pytorch/pytorch/pull/54924

Previously we are producing torch.ops.quantize.cat which takes inputs, dequantize them
and requantize with new qparams. This PR changes that to produce torch.cat directly, torch.cat
will assume all inputs are sharing the same qparam, and it will produce a quantized Tensor with
the same qparam as all inputs (because previous PR makes sure all inputs and output of cat are sharing
the same observer/fakequant instance).

Using torch.cat is expected to be more efficient since it does not introduce extra quant/dequant.

Test Plan:
python test/test_quantization.py TestQuantizeFx.test_cat

Imported from OSS

Reviewed By: vkuzo

Differential Revision: D27416528

fbshipit-source-id: 896c280abec2903c29d597c655729666583ff0dd
","['aten/src/ATen/native/quantized/cpu/qconcat.cpp', 'test/quantization/test_numeric_suite_fx.py', 'test/quantization/test_quantize_fx.py', 'torch/quantization/fx/quantization_patterns.py', 'torch/quantization/ns/graph_passes.py', 'torch/quantization/ns/mappings.py']",Quantized tensors using torch.ops.quantized.cat leads to unnecessary dequantization and requantization with new parameters. Efficiency could be impacted due to these extra operations.
11759491b9c57d5374c716414fdc281a2f0bf611,1647299913,"[Kineto] Manual Submodule Update (#73858)

Summary:
Pull Request resolved: https://github.com/pytorch/pytorch/pull/73858

The newer version of Kineto has changes to handle generic activities (such as RocTracer generic activities), so we can remove the older USE_KINETO_UPDATED macro and implementation of flow.linkedActivity.

This patch should bring Kineto back in sync on PyTorch CI.

Test Plan: PyTorch OSS CI needs to pass for this submodule update of third_party/kineto repo. With ciflow/cuda enabled.

Reviewed By: chaekit

Differential Revision: D34689078

Pulled By: aaronenyeshi

fbshipit-source-id: 305431cbce95ecd57c23b0485e4bb921ea2c7c0a
(cherry picked from commit aef46a287f4cee92ab96650b6a0ab81648bca374)
",['torch/csrc/autograd/profiler_kineto.cpp'],"Outdated Kineto submodule causes inconsistency with Pytorch CI, and the older USE_KINETO_UPDATED macro and implementation is no longer needed due to feature updates in latest Kineto."
11a40ad915d4d3d8551588e303204810887fcf8d,1629405352,"[Pytorch] Fix callstack pointer serialization bug (#63576)

Summary:
Pull Request resolved: https://github.com/pytorch/pytorch/pull/63576

We serialize function name associated with InlinedCallStackPtr. This is derived
via querying Function* stored in InlinedCallStack. However this is a raw
pointer that is not gauranteed to be valid when we serialization happens. On
the other hand we also store function name separately when constructing
InlinedCallStack anyways. So this change just uniformly relies on function_name
instead of Function*

Test Plan: Internal build's asan failure + CI

Reviewed By: larryliu0820

Differential Revision: D30427029

fbshipit-source-id: de9617482404785920ed2e67b72f38461590fba3
","['torch/csrc/jit/mobile/debug_info.cpp', 'torch/csrc/jit/serialization/callstack_debug_info_serialization.cpp']",The serialization of function names associated with InlinedCallStackPtr is unreliable due to potential invalidity of raw pointers during serialization process.
11d4d91bdccab35928fd56a4fc5eac781f9fb71e,1660719865,"[torchgen] Add logic in annotation parser to accept alias set (#83501)

Extending the current regex in `model.py` to support annotation alias set. See issue #83214.

Ideally we should have a full fledged lexer similar to `schema_type_parser.cpp`, since regex can be more and more difficult to read if we add more support to it.

Adding this to unblock this issue for now.
Pull Request resolved: https://github.com/pytorch/pytorch/pull/83501
Approved by: https://github.com/SherlockNoMad
","['tools/test/test_codegen_model.py', 'torchgen/model.py']","Current regex in `model.py` does not support annotation alias set, causing issues with parsing and reading."
159a2404bdc7fc54918c78d4bd290e5fa830dca7,1620376232,"fft: Increase tolerance for nd-fft tests (#57576)

Summary:
Fixes https://github.com/pytorch/pytorch/issues/56820

The test only fails for inverse n-dim functions with `norm=""forward""`. The relative error for isn't actually any bigger than other norm modes though. It's just that the magnitude of the result is bigger, so the absolute tolerance is less relative each element. So, I just increase the relative tolerance  to compensate.

This `precisionOverride` is already applied to `fftn` and `rfftn` for exactly the same reason.

Pull Request resolved: https://github.com/pytorch/pytorch/pull/57576

Reviewed By: albanD

Differential Revision: D28249222

Pulled By: mruberry

fbshipit-source-id: 734c7c1ae8236b253d6e3cd2218c05d21901c567
",['torch/testing/_internal/common_methods_invocations.py'],"Inverse n-dim functions with `norm=""forward""` in nd-fft tests are failing due to a higher result magnitude leading to lower absolute tolerance per element."
1a9efbbc92057d494217f3ace0f87c319495d577,1621279538,"generate inplace/out kernels for xla (#57510)

Summary:
Pull Request resolved: https://github.com/pytorch/pytorch/pull/57510

This is a re-write of https://github.com/pytorch/pytorch/pull/56835, which is significantly shorter thanks to the data model change in the PR below this one in the stack. See the original description in the linked PR for details.

The functional changes in this PR are the same as in the above linked one, so the description is the same with a few small changes:
- I don't bother generating `at::xla::{op}` entries for CPU fallbacks. After looking around, I see precedent for that. For example, we don't have `at::cpu::{op}` entries for composite ops- if you really want to bypass the dispatcher you need to call `at::compositeimplicitautograd::{op}`. Maybe we should revisit that later if we find an important use case for having full namespace coverage, but that doesn't seem worth half-fixing for external backends in this PR.

Test Plan: Imported from OSS

Reviewed By: navahgar

Differential Revision: D28474364

Pulled By: bdhirsh

fbshipit-source-id: 4d58b60e5debad6f1ff06420597d8df8505b2876
","['aten/src/ATen/templates/RegisterDispatchKey.cpp', 'aten/src/ATen/templates/aten_xla_type_default.cpp', 'tools/codegen/api/types.py', 'tools/codegen/dest/gen_external_aten_fallbacks.py', 'tools/codegen/dest/register_dispatch_key.py', 'tools/codegen/gen.py', 'tools/codegen/gen_backend_stubs.py', 'tools/codegen/model.py']","XLA kernels lack in-place/out functionality, resulting in the inability to bypass the dispatcher for composite ops, thus requiring full namespace coverage."
1d0416397a5fc5d8ac414f182be6ce2450d70819,1638232536,"[PyTorch] Change from unique_ptr to optional for RecordFunction state (#68397)

Summary:
Pull Request resolved: https://github.com/pytorch/pytorch/pull/68397

Now that hot paths can avoid instantiating RecordFunction by using shouldRunRecordFunction, we can improve efficiency for profiling cases by avoiding a large heap allocation.
ghstack-source-id: 144235785

Test Plan:
1) Run //caffe2/caffe2/fb/high_perf_models/pytorch/benchmark_framework_overheads:cpp_benchmark before/after this diff with arguemnts --stressTestRecordFunction --op empty.

Before: P467891381

After: P467902339

2) Run without --stressTestRecordFunction to verify no regression in the regular dispatcher path.

Before: P467902381

After: P467902403

Reviewed By: chaekit

Differential Revision: D32448365

fbshipit-source-id: 2d32a3bd82c60d2bb11fc57bb88bf3f02aa3fa25
","['aten/src/ATen/record_function.cpp', 'aten/src/ATen/record_function.h']",Memory efficiency issues and a large heap allocation occur during profiling cases when using unique_ptr for RecordFunction state.
27a3204982c3985f2d9639dbfed174da267bcd47,1623801286,"generate C++ API for meta functions using at::meta:: (#58570)

Summary:
Pull Request resolved: https://github.com/pytorch/pytorch/pull/58570

**What the PR does**
Generate a fast-path `at::meta::{op}` API for calling meta functions without having to go through the dispatcher. This will be important for perf for external backends that want to use meta functions for shape checking (which seems likely to be what we end up doing for LazyTensorCore).

**Details**
In order to avoid naming collisions I had to make two small changes:
- rename `MetaFunctions.h` template -> `NativeMetaFunctions.h` (this is the file that declares the impl() function for every structured operator).
- rename the meta class: `at::meta::{op}::meta()` -> `at::meta::structured_{op}::meta()`

I also deleted a few unnecessary includes, since any file that includes NativeFunctions.h will automatically include NativeMetaFunctions.h.

**Why I made the change**
This change isn't actually immediately used anywhere; I already started writing it because I thought it would be useful for structured composite ops, but that isn't actually true (see [comment](https://github.com/pytorch/pytorch/pull/58266#issuecomment-843213147)). The change feels useful and unambiguous though so I think it's safe to add. I added explicit tests for C++ meta function calls just to ensure that I wrote it correctly - which is actually how I hit the internal linkage issue in the PR below this in the stack.

Test Plan: Imported from OSS

Reviewed By: pbelevich

Differential Revision: D28711299

Pulled By: bdhirsh

fbshipit-source-id: d410d17358c2b406f0191398093f17308b3c6b9e
","['aten/src/ATen/TensorMeta.h', 'aten/src/ATen/native/Normalization.cpp', 'aten/src/ATen/native/UpSampleNearest1d.cpp', 'aten/src/ATen/templates/NativeFunctions.h', 'aten/src/ATen/templates/NativeMetaFunctions.h', 'aten/src/ATen/templates/RegisterDispatchKey.cpp', 'test/cpp/api/meta_tensor.cpp', 'tools/codegen/dest/native_functions.py', 'tools/codegen/dest/register_dispatch_key.py', 'tools/codegen/gen.py']","Meta functions need to go through the dispatcher for execution which is affecting performance. Additionally, there are naming collisions in `MetaFunctions.h` and the meta class `at::meta::{op}::meta()`."
