commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
04056b767fbcdc1df6fc536467234c04d88bee9d,1606770233,"BITOP speedup when or/and output is 0/255, stop processing further keys (#8110)

when performing the and operation, if the output is 0, we can jump out of the loop.
when performing an or operation, if the output is 0xff, we can jump out of the loop.",['src/bitops.c'],BITOP operations continue processing keys unnecessarily after AND operation gives 0 or OR operation yields 0xff output.
0835f596b8d6ab3d41a76cf468877273a6afa961,1629616853,"BITSET and BITFIELD SET only propagate command when the value changed. (#9403)

In old way, we always increase server.dirty in BITSET and BITFIELD SET.
Even the command doesn't really change anything. This commit make 
sure BITSET and BITFIELD SET only increase dirty when the value changed.

Because of that, if the value not changed, some others implications:
- Avoid adding useless AOF
- Reduce replication traffic
- Will not trigger keyspace notifications (setbit)
- Will not invalidate WATCH
- Will not sent the invalidation message to the tracking client","['src/bitops.c', 'tests/unit/bitops.tcl']","BITSET and BITFIELD SET commands increase server dirty count even when no actual value changes occur, resulting in unnecessary AOF additions, increased replication traffic, and invalidation of WATCH and tracking client messages."
085615af97c658530153e0040b35d8e65a384379,1635156085,"Improve code doc of allowed_firstargs following #9504 (#9674)

Improve code doc for allowed_firstargs (used to be allowed_commands before #9504.
I don't think the text in the code needs to refer to the history (it's not there just for backwards compatibility).
instead it should just describe what it does.",['src/server.h'],"The code documentation for 'allowed_firstargs' is insufficient and unclear, failing to adequately describe its functionality."
09327f11dd718461b3a1d577729c1e9969f37080,1531213901,"Streams: fix unblocking logic into a consumer group.

When a client blocks for a consumer group, we don't know the actual ID
we want to be served: other clients blocked in the same consumer group
may be served first, so the consumer group latest delivered ID changes.
This was not handled correctly, all the clients in the consumer group
were unblocked without data but the first.
",['src/blocked.c'],"""Incorrect handling of Consumer Group blocking in Streams results in all clients except first being unblocked without data."""
0990dec3f5c331c7eae6e219716b4d57dd185ccb,1644338747,"Fix SENTINEL DEBUG with wrong arguments (#10258)

There are two issues in SENTINEL DEBUG:
1. The error message should mention SENTINEL DEBUG
2. Add missing reuturn in args parse.

```
redis> sentinel debug INFO-PERIOD aaa
(error) ERR Invalid argument 'aaa' for SENTINEL SET 'INFO-PERIOD'

redis> sentinel debug a b c d
(error) ERR Unknown option or number of arguments for SENTINEL SET 'a'
redis> ping
(error) ERR Unknown option or number of arguments for SENTINEL SET 'b'
```

Introduced in #9291. Also do some cleanups in the code.",['src/sentinel.c'],'SENTINEL DEBUG' in Redis incorrectly presents the error message related to 'SENTINEL SET' and fails to handle argument parsing properly.
0af467d18f9d12b137af3b709c0af579c29d8414,1577898793,"Fix active expire division by zero.

Likely fix #6723.

This is what happens AFAIK: we enter the main loop where we expire stuff
until a given percentage of keys is still found to be logically expired.
There are however other potential exit conditions.

However the ""sampled"" variable is not always incremented inside the
loop, because we may found no valid slot as we scan the hash table, but
just NULLs ad dict entries. So when the do/while loop condition is
triggered at the end, we do (expired*100/sampled), dividing by zero if
we sampled 0 keys.
",['src/expire.c'],"Main loop for key expiry can potentially lead to division by zero error when no valid slots are found during a hash table scan, resulting in no keys being sampled."
0c4733c8d7c50e0b0dc3373733fddfff3f62dda0,1650205006,"Optimize integer zset scores in listpack (converting to string and back) (#10486)

When the score doesn't have fractional part, and can be stored as an integer,
we use the integer capabilities of listpack to store it, rather than convert it to string.
This already existed before this PR (lpInsert dose that conversion implicitly).

But to do that, we would have first converted the score from double to string (calling `d2string`),
then pass the string to `lpAppend` which identified it as being an integer and convert it back to an int.
Now, instead of converting it to a string, we store it using lpAppendInteger`.

Unrelated:
---
* Fix the double2ll range check (negative and positive ranges, and also the comparison operands
  were slightly off. but also, the range could be made much larger, see comment).
* Unify the double to string conversion code in rdb.c with the one in util.c
* Small optimization in lpStringToInt64, don't attempt to convert strings that are obviously too long.

Benchmark;
---
Up to 20% improvement in certain tight loops doing zzlInsert with large integers.
(if listpack is pre-allocated to avoid realloc, and insertion is sorted from largest to smaller)","['src/listpack.c', 'src/listpack.h', 'src/rdb.c', 'src/t_zset.c', 'src/util.c', 'src/util.h']","Integer scores in zset are inefficiently converted to a string and back to integer while storing in listpack, leading to performance concerns."
0f8b634cd5cdfd77696d34d744dfc25fa97f3b73,1633349870,"Fix invalid memory write on lua stack overflow (CVE-2021-32626) (#9591)

When LUA call our C code, by default, the LUA stack has room for 10
elements. In most cases, this is more than enough but sometimes it's not
and the caller must verify the LUA stack size before he pushes elements.

On 3 places in the code, there was no verification of the LUA stack size.
On specific inputs this missing verification could have lead to invalid
memory write:
1. On 'luaReplyToRedisReply', one might return a nested reply that will
   explode the LUA stack.
2. On 'redisProtocolToLuaType', the Redis reply might be deep enough
   to explode the LUA stack (notice that currently there is no such
   command in Redis that returns such a nested reply, but modules might
   do it)
3. On 'ldbRedis', one might give a command with enough arguments to
   explode the LUA stack (all the arguments will be pushed to the LUA
   stack)

This commit is solving all those 3 issues by calling 'lua_checkstack' and
verify that there is enough room in the LUA stack to push elements. In
case 'lua_checkstack' returns an error (there is not enough room in the
LUA stack and it's not possible to increase the stack), we will do the
following:
1. On 'luaReplyToRedisReply', we will return an error to the user.
2. On 'redisProtocolToLuaType' we will exit with panic (we assume this
   scenario is rare because it can only happen with a module).
3. On 'ldbRedis', we return an error.","['src/scripting.c', 'tests/unit/scripting.tcl']","In certain scenarios, the LUA stack might overflow leading to invalid memory writes as the current LUA stack size verification is missing in some parts of the code. This can cause the program to crash or behave unpredictably."
1013cbeae2060bf14b9b430f3ae1f1bf9a0aad1c,1653802718,"Fix sentinel disconnect test timing issue after auth-pass change (#10784)

There is a timing issue reported in test-sanitizer-address (gcc):
```
Sentinels (re)connection following SENTINEL SET mymaster auth-pass:
FAILED: Expected to be disconnected from master due to wrong password
```

The reason we reach it, is because the test is fast enough to modify
auth-pass and test sentinel connection status with the server,
before its scheduled operation got the chance to update connection
status with the server.

We need to wait for `sentinelTimer` to kick in, and then update the
connection status. Replace condition with wait_for_condition on the check.

Fix just like #10480 did",['tests/sentinel/tests/03-runtime-reconf.tcl'],Sentinel disconnection test incorrectly passes due to a timing issue - sentinel connection status with the server updates before the test can modify the 'auth-pass' and test sentinel connection status.
1190f25ca7644e5cdea0b5c8c88e07daaccc36aa,1688604383,"Process loss of slot ownership in cluster bus (#12344)

Process loss of slot ownership in cluster bus

When a node no longer owns a slot, it clears the bit corresponding
to the slot in the cluster bus messages. The receiving nodes
currently don't record the fact that the sender stopped claiming
a slot until some other node in the cluster starts claiming the slot.
This can cause a slot to go missing during slot migration when subjected
to inopportune race with addition of new shards or a failover.
This fix forces the receiving nodes to process the loss of ownership
to avoid spreading wrong information.","['src/cluster.c', 'src/cluster.h', 'tests/cluster/tests/15-cluster-slots.tcl']","Receiving nodes do not record the absence of a slot in cluster bus messages when a node stops claiming it, leading to potential loss of slot during migrations due to race conditions."
