commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
ea36d4de17101f05b03d267a4afbae0f7b33a27c,1631630886,"Modules: Add remaining list API functions (#8439)

List functions operating on elements by index:

* RM_ListGet
* RM_ListSet
* RM_ListInsert
* RM_ListDelete

Iteration is done using a simple for loop over indices.
The index based functions use an internal iterator as an optimization.
This is explained in the docs:

```
 * Many of the list functions access elements by index. Since a list is in
 * essence a doubly-linked list, accessing elements by index is generally an
 * O(N) operation. However, if elements are accessed sequentially or with
 * indices close together, the functions are optimized to seek the index from
 * the previous index, rather than seeking from the ends of the list.
 *
 * This enables iteration to be done efficiently using a simple for loop:
 *
 *     long n = RM_ValueLength(key);
 *     for (long i = 0; i < n; i++) {
 *         RedisModuleString *elem = RedisModule_ListGet(key, i);
 *         // Do stuff...
 *     }
```","['src/module.c', 'src/quicklist.c', 'src/quicklist.h', 'src/redismodule.h', 'src/server.h', 'src/t_list.c', 'tests/modules/list.c', 'tests/unit/moduleapi/list.tcl']",Current list functions lack operations based on element index leading to inherently O(N) operation time due to doubly-linked list structure. This can result in inefficiency in certain scenarios.
17904780ae5b4793ad133020d6bfa7f4a266b20c,1692171926,"skip the rehashed entries in dictNext (#12386)

If dict is rehashing, the  entries in the head of table[0] is moved to table[1]
and all entries in `table[0][0:rehashidx]` is NULL.

`dictNext` start looking for non-NULL entry from table 0 index 0, and the first call
of `dictNext` on a rehashing dict will Iterate many times to skip those NULL entries.
We can easily skip those entries by setting `iter->index` as `iter->d->rehashidx` when
dict is rehashing and it's the first call of dictNext (`iter->index == -1 && iter->table == 0`).

Co-authored-by: sundb <sundbcn@gmail.com>",['src/dict.c'],"The first call of dictNext on a rehashing dict iterates excessively due to NULL entries in the head of table[0], resulting in suboptimal performance."
344e41c92228f3b8aade6220c48b7d8c6e7817a7,1644146036,"Fix PSYNC crash with wrong offset (#10243)

`PSYNC replicationid str_offset` will crash the server.

The reason is in `masterTryPartialResynchronization`,
we will call `getLongLongFromObjectOrReply` check the
offset. With a wrong offset, it will add a reply and
then trigger a full SYNC and the client become a replica.

So crash in `c->bufpos == 0 && listLength(c->reply) == 0`.
In this commit, we check the psync_offset before entering
function `masterTryPartialResynchronization`, and return.

Regardless of that crash, accepting the sync, but also replying
with an error would have corrupt the replication stream.",['src/replication.c'],"PSYNC replicationId str_offset causes a server crash due to wrong offset. Additionally, error reply during sync causes replication stream corruption."
eb94d6d36dec7323af5fb89a5899506d5c07adb1,1661152351,"Introduce unix socket connection type

Unix socket uses different accept handler/create listener from TCP,
to hide these difference to avoid hard code, use a new unix socket
connection type. Also move 'acceptUnixHandler' into unix.c.

Currently, the connection framework becomes like following:

                   uplayer
                      |
               connection layer
                 /    |     \
               TCP   Unix   TLS

It's possible to build Unix socket support as a shared library, and
load it dynamically. Because TCP and Unix socket don't require any
heavy dependencies or overheads, we build them into Redis statically.

Signed-off-by: zhenwei pi <pizhenwei@bytedance.com>
","['src/connection.c', 'src/connection.h', 'src/networking.c', 'src/server.c', 'src/server.h', 'src/unix.c']","Redis is unable to distinguish between Unix socket and TCP connections and handle them accordingly, causing hardcoding and organization issues."
8fb89a572892e600146bd933c4f8f99d46a519c7,1601484721,"Fixed Tracking test “The other connection is able to get invalidations” (#7871)

PROBLEM:

[$rd1 read] reads invalidation messages one by one, so it's never going to see the second invalidation message produced after INCR b, whether or not it exists. Adding another read will block incase no invalidation message is produced.

FIX:

We switch the order of ""INCR a"" and ""INCR b"" - now ""INCR b"" comes first. We still only read the first invalidation message produces. If an invalidation message is wrongly produces for b - then it will be produced before that of a, since ""INCR b"" comes before ""INCR a"".

Co-authored-by: Nitai Caro <caronita@amazon.com>",['tests/unit/tracking.tcl'],"'Invalidation messages sequentially read by [$rd1 read] fails to access multiple messages, which may lead to unnoticed invalid messages if they exist.'"
eef2d8303d7be6be50ea3b1e45f375765933da9b,1660478020,"Optimization in t_hash.c: Avoid looking for a same field twice by using dictAddRaw() instead of dictFind() and dictAdd() (#11110)

Before this change in hashTypeSet() function, we first use dictFind()
to look for the field and if it does not exist, we use dictAdd() to add it.
In dictAdd() function the dictionary will look for the field again and I
think this is meaningless as we already know that the field does not exist.

An optimization is to use dictAddRaw() instead of dictFind() and dictAdd().
If we use dictAddRaw(), a new entry will be added when the field does not
exist, and what we should do then is just set the value of that entry, and set
its key to 'sdsdup(field)' in the case that 'HASH_SET_TAKE_FIELD' flag wasn't set.",['src/t_hash.c'],Repeated lookup for the same field in hashTypeSet() function with dictFind() and dictAdd() causing unnecessary overhead.
65ef543f8cc4d470f554f06e50594e85aad0d617,1643887235,"Sentinel: return an error if configuration save fails (#10151)

When performing `SENTINEL SET`, Sentinel updates the local configuration file. Before this commit, failure to update the file would still result with an `+OK` reply. Now, a `-ERR Failed to save config file` error will be returned.

Co-authored-by: Yossi Gottlieb <yossigo@gmail.com>","['src/sentinel.c', 'tests/sentinel/tests/03-runtime-reconf.tcl']","Sentinel configuration update continues without interruption even when there is a failure in saving updated file, leading to potential misconfiguration."
fc9b4e79589c049276ff4c7cf536b49d700f8cee,1538107608,"bugfix: replace lastcmd with cmd when rewrite BRPOPLPUSH as RPOPLPUSH

There are two problems if we use lastcmd:

1. BRPOPLPUSH cannot be rewrited as RPOPLPUSH in multi/exec
    In mulit/exec context, the lastcmd is exec.
2. Redis will crash when execute RPOPLPUSH loading from AOF
    In fakeClient, the lastcmd is NULL.
",['src/t_list.c'],Using lastcmd to rewrite BRPOPLPUSH as RPOPLPUSH results in issues - cannot rewrite in multi/exec context and leads to Redis crash when executing RPOPLPUSH loaded from AOF.
1d9c8d61d895b72ecc35b2973c399d0c70a72c18,1629291622,"Skip OOM-related tests on incompatible platforms. (#9386)

We only run OOM related tests on x86_64 and aarch64, as jemalloc on other
platforms (notably s390x) may actually succeed very large allocations. As
a result the test may hang for a very long time at the cleanup phase,
iterating as many as 2^61 hash table slots.",['tests/integration/corrupt-dump.tcl'],"OOM-related tests may hang during the cleanup phase on platforms other than x86_64 and aarch64, due to jemalloc succeeding very large allocations."
dec529f4be3e3314300bb513e7a9f3af636e13b0,1672822376,"Introduce .is_local method for connection layer (#11672)

Introduce .is_local method to connection, and implement for TCP/TLS/
Unix socket, also drop 'int islocalClient(client *c)'. Then we can
hide the detail into the specific connection types.
Uplayer tests a connection is local or not by abstract method only.

Signed-off-by: zhenwei pi <pizhenwei@bytedance.com>

Signed-off-by: zhenwei pi <pizhenwei@bytedance.com>","['src/config.c', 'src/connection.h', 'src/networking.c', 'src/server.h', 'src/socket.c', 'src/tls.c', 'src/unix.c']","There is no abstract method to check if a connection is local or not, requiring manual inspection of specific connection types."
