commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
00a47cf6787af8fe89f55f721a54cbfef5b7d4a4,1451055734,"setup.mak: split release date

* win32/setup.mak (verconf.mk): split release date into year,
  month, and day.

* common.mk (RUBY_RELEASE_DATE): move from Makefile.in to share
  with win32/setup.mak.

git-svn-id: svn+ssh://ci.ruby-lang.org/ruby/trunk@53312 b2dd03c8-39d4-4d8f-98ff-823fe69b080e
","['common.mk', 'win32/setup.mak']","The release date in setup.mak is not split into year, month, and day causing potential confusion and inconsistency across platforms."
033e58cf2c6829e14fa38e0a364911361090aa83,1652100324,"Fix gc_page_sweep when last bitmap plane is not used

Depending on alignment, the last bitmap plane may not used. Then it will
appear as if all of the objects on that plane is unmarked, which will
cause a buffer overrun when we try to free the object. This commit
changes the loop to calculate the number of planes used
(bitmap_plane_count).
",['gc.c'],Unmarked objects on the last unused bitmap plane result in buffer overrun when attempting to free the object.
043e1fd559f0675b242cd50fe82256083e3257db,1515486403,"thread_pthread: remove checks for pthread_cond*_init

These were added for NaCL support in r36022, and we dropped NaCL
in r60374.

IMHO, any pthreads implementation without these basic functions
is not worth the time to support.

[ruby-core:84758] [Misc #14342]

git-svn-id: svn+ssh://ci.ruby-lang.org/ruby/trunk@61720 b2dd03c8-39d4-4d8f-98ff-823fe69b080e
",['thread_pthread.c'],"The current Ruby implementation includes unnecessary checks for pthread_cond*_init functions, these checks were introduced for NaCL support which has been subsequently dropped."
0a2f04e156cb717dcf78f2ea9bfe26f864a24616,1570471050,"Eliminate second GC pass for eliminating T_MOVED

`T_MOVED` is a linked list, so we can just iterate through the `T_MOVED`
objects, clearing them out and adding them to respective free lists.
",['gc.c'],"Multiple GC passes are necessary for handling `T_MOVED` objects, causing potential inefficiencies in garbage collection."
0dd0971ee7b1ea66aea7ba83f08d8b9976bf625d,1518009969,"mjit.c: fix buffer overflow

* mjit.c (sprint_uniq_filename): get rid of silent buffer
  overflow.

* mjit.c (get_uniq_filename, convert_unit_to_func): allocate
  enough buffer before formatting.

* mjit.c (convert_unit_to_func): use DLEXT instead of hard coded
  extension.

git-svn-id: svn+ssh://ci.ruby-lang.org/ruby/trunk@62281 b2dd03c8-39d4-4d8f-98ff-823fe69b080e
",['mjit.c'],The mjit.c file is encountering a silent buffer overflow when trying to allocate a buffer before formatting.
0ee24acb5a9f3007f3b62f04c69427f61d57e04e,1509808938,"Introduce `rb_code_location_t`

`rb_code_location_t` has two integers, lineno and column, which point to
one location on a code.  Now `rb_code_location_t` is used instead of
`VALUE nd_location`.

git-svn-id: svn+ssh://ci.ruby-lang.org/ruby/trunk@60652 b2dd03c8-39d4-4d8f-98ff-823fe69b080e
","['node.c', 'node.h']","The use of `VALUE nd_location` for pinpointing a location in the code can be ambiguous, needing a more explicit structure with line number and column details.
"
16ea9d948fe2ad51ac8d8a08562633b236cf28c5,1438237838,"common.mk: PHONY should be phony [ci skip]

* common.mk (PHONY): should not depend on any real files, not to
  make those dependencies inadvertently.

git-svn-id: svn+ssh://ci.ruby-lang.org/ruby/trunk@51447 b2dd03c8-39d4-4d8f-98ff-823fe69b080e
",['common.mk'],"In common.mk, the PHONY target inadvertently depends on actual files, resulting in unintentional dependencies."
2091bf94931bddcf23b196fc8fe108ebd7ec1648,1692968481,"Expose stats about weak references

[Feature #19783]

This commit adds stats about weak references to `GC.latest_gc_info`.
It adds the following two keys:

- `weak_references_count`: number of weak references registered during
  the last GC.
- `retained_weak_references_count`: number of weak references that
  survived the last GC.
","['gc.c', 'test/ruby/test_gc.rb']",No current method does exist to retrieve statistics about the number of weak references registered and those that survived the last GC.
258843106f343d05732499dd1832958eb1bf64f0,1567804822,"Fix SortedSet subclasses that override initialize

The first time SortedSet#initialize is called, it overwrites
itself, then recalls #initialize, which results in calling the
subclass's initialize, not the current initialize.

Just inline the default initialize behavior to avoid this issue.

No test for this as it can only be triggered the very first time
that SortedSet#initialize is called.

Fixes [Bug #15830]
",['lib/set.rb'],First invocation of SortedSet#initialize results in incorrect call to subclass's initialize instead of its current one.
27f9556de9593483f713f622054e8fd648737438,1461990056,"{Fixnum,Bignum}#fdiv is unified into Integer.

* numeric.c (int_fdiv): {Fixnum,Bignum}#fdiv is unified into
  Integer.

* bignum.c (rb_big_fdiv): Don't define Bignum#fdiv.



git-svn-id: svn+ssh://ci.ruby-lang.org/ruby/trunk@54832 b2dd03c8-39d4-4d8f-98ff-823fe69b080e
","['bignum.c', 'numeric.c']","`fdiv` method is separately defined for Fixnum and Bignum classes, rather than being unified under the parent Integer class."
