commit_id,commit_date,commit_message,actual_files_modified,transformed_message_gpt4
4efbeb11905534289a6b4a4bc4779859a9c6c6a6,1659205125,"[ruby/date] Enhanced RDoc (https://github.com/ruby/date/pull/67)

Treats:
    ::httpdate
    #to_date
    #to_time
    #to_datetime
In behalf of ::httpdate, I've introduced section ""Argument limit"" that can be pointed to by various Date methods (similar to existing section ""Argument start""). This will involve 8 already-enhanced methods plus 8 more not yet done.

https://github.com/ruby/date/commit/00326ff99c
",['ext/date/date_core.c'],"Lack of sufficient documentation for various Date methods, including ::httpdate, #to_date, #to_time and #to_datetime, specifically with regards to ""Argument limit""."
d835ed4df1ae2bf317db41a8009b1fad143c94f1,1556453338,"Define merger.rb's methods under Merger namespace

so that we do not monkey-patch all classes by defining methods on
top-level (Object class).

Not arranging indentation in it to keep `git blame` for now.
",['tool/merger.rb'],"Methods defined in merger.rb are monkey-patching all classes by being defined at top-level instead of within the Merger namespace, causing potential conflicts."
d311921d31e575e0e72f67dfa27fd90b2cfc5ec4,1496840488,"rexml: add close tag check on end of document to StreamParser

[ruby-core:81593] [Bug #13636]

Reported by Anton Sivakov. Thanks!!!


git-svn-id: svn+ssh://ci.ruby-lang.org/ruby/trunk@59033 b2dd03c8-39d4-4d8f-98ff-823fe69b080e
","['lib/rexml/parsers/streamparser.rb', 'test/rexml/parser/test_stream.rb']",StreamParser in rexml does not verify if tags are appropriately closed at the end of documents.
fdb771d82db5c258757d3e2f18102eca680ecfd5,1508937585,"Make imemo_alloc writebarrier-unprotected

imemo_alloc provides a memory buffer whose contents are marked by GC.
C code can access imemo_alloc buffer freely, so imemo_alloc must be
considered writebarrier-unprotected.  But T_IMEMO is writebarrier-
protected by default, which caused a GC bug.

git-svn-id: svn+ssh://ci.ruby-lang.org/ruby/trunk@60427 b2dd03c8-39d4-4d8f-98ff-823fe69b080e
","['gc.c', 'parse.y']","The T_IMEMO default writebarrier-protected status conflicts with the writebarrier-unprotected nature of imemo_alloc buffer, causing garbage collection errors."
b89367d6d5e6537414ab01f075427f9f13bc50c8,1497760144,"test/unit.rb: close jobserver

* test/lib/test/unit.rb (Test::Unit::Parallel#flush_job_tokens):
  close jobserver auth fds aflter flush, not to  release tokens
  more than acquired.

git-svn-id: svn+ssh://ci.ruby-lang.org/ruby/trunk@59110 b2dd03c8-39d4-4d8f-98ff-823fe69b080e
",['test/lib/test/unit.rb'],Jobserver auth file descriptors in 'Test::Unit::Parallel#flush_job_tokens' are releasing more tokens than they acquired.
c982c5efac3985e989c02d10b8bc834b902c6e5c,1588914809,"[rubygems/rubygems] Skip flaky tests on jruby

I believe these are most certainly due to a problem outside of rubygems.
I'm skipping these at least until webrick officially supports jruby
(defining ""officially"" as ""webrick's CI passes on jruby"").

https://github.com/rubygems/rubygems/commit/4fca025358
",['test/rubygems/test_gem_remote_fetcher.rb'],"Certain tests are flaky on JRuby, potentially due to an issue outside of RubyGems and it seems Webrick may not officially support JRuby yet."
0f0c32f24e9556cf3d605df2891841659e6293f6,1518930652,"mjit.c: no va_copy

* mjit.c (form_args): do not use va_copy, which cannot detect
  appropriate way to simulate when cross compiling.

git-svn-id: svn+ssh://ci.ruby-lang.org/ruby/trunk@62463 b2dd03c8-39d4-4d8f-98ff-823fe69b080e
","['internal.h', 'mjit.c', 'tool/m4/ruby_check_va_copy.m4']",Cross compiling in 'mjit.c' using va_copy fails to detect the appropriate simulation method.
efc89703365fa787c012370c18803bae67924526,1566481625,"* expand tabs. [ci skip]

Tabs are expanded because previously the file did not have any tab indentation.
Please update your editor config, and use misc/expand_tabs.rb in the pre-commit hook.
",['mjit.c'],"File has inconsistent indentation due to presence of unexpanded tabs, leading to potential formatting and readability issues."
5dfde64609f4595c599ed8d99e5fdb82240ecf73,1488742990,"docs for IO.{write,read}

* io.c: [DOC] improve docs for IO
  * IO.{write,read}: fix errors (:open_args is not an array of
    strings, it might include a perm or options hash argument;
    IO.write has no length argument, drop corresponding statement),
    improve formatting, call-seq, grammar.
  * IO#sync=: remove unnecessary ""produces no output"".
  * other improvements.

git-svn-id: svn+ssh://ci.ruby-lang.org/ruby/trunk@57781 b2dd03c8-39d4-4d8f-98ff-823fe69b080e
",['io.c'],"Misinformation in the IO.{write,read} documentation: wrong argument types and inaccurate formatting, grammar. IO#sync= contains unnecessary statement."
3a238eff88440f450a7871fc82e49bfb1ab336e5,1680333815,"gdb: Fix a command example

It was actually harder to type `cfp + 1`. `cfp 1` also works and is more
useful.
",['misc/gdb.py'],Issue with a command example in gdb documentation: `cfp + 1` is difficult to type and less useful compared to `cfp 1`.
