repo_name,num_commits,total_files_edited,mean_edit_frequency,median_edit_frequency,mean_num_files,median_num_files,avg_commit_message_len,avg_file_path_len,avg_remaining_tokens
facebook_react,11609,73765,10.1,4.0,6.4,2.0,242.1,20.9,249.0
angular_angular,19464,151904,7.1,3.0,7.8,2.0,36.7,20.3,455.0
apache_spark,33679,188006,13.3,4.0,5.6,2.0,39.6,30.3,442.1
apache_kafka,10445,75655,9.9,4.0,7.2,2.0,37.1,28.1,446.8
django_django,21991,81252,18.3,7.0,3.7,2.0,27.3,14.0,470.7
julialang_julia,46778,182112,41.7,8.0,3.9,2.0,32.2,9.0,470.8
ruby_ruby,70211,180467,10.1,3.0,2.6,1.0,32.0,6.6,473.4
pytorch_pytorch,59554,276846,14.1,6.0,4.6,2.0,38.4,14.5,459.1
huggingface_transformers,11157,56363,13.3,6.0,5.1,1.0,33.8,15.2,463.0
redis_redis,11077,29533,15.9,2.0,2.7,1.0,37.5,8.1,466.4
