repo_name,total_commits_stored,total_rows_stored,index_total_terms,index_documents,index_non_empty_documents,index_unique_terms,MAP,P@10,P@100,P@1000,MRR,Recall@1000
hashicorp_vault,11516,120238,11971700,120238,120238,13518,0.0435,0.073,0.022,0.0044,0.1943,0.3993
huginn_huginn,2592,9346,273068,9346,9346,6203,0.0302,0.117,0.0402,0.0094,0.2974,0.7566
scrapy_scrapy,7263,43406,10402072,43406,43406,8286,0.0292,0.103,0.0416,0.0115,0.2698,0.7858
golang_go,52455,286618,723718383,286618,286618,23904,0.0072,0.004,0.0015,0.0003,0.022,0.0857
mozilla_pdf.js,15239,38275,2324782,38275,38275,13253,0.1179,0.225,0.0847,0.0227,0.6025,0.862
ansible_ansible,34648,102257,6671571,102257,102257,18600,0.0244,0.071,0.019,0.0032,0.2114,0.5681
wordpress_wordpress,46086,127328,17830785,127328,127328,20133,0.1496,0.248,0.1504,0.0502,0.4148,0.8104
syncthing_syncthing,6030,31249,1710483,31249,31249,9771,0.0678,0.134,0.055,0.0119,0.3533,0.7286
django_django,21991,81252,4400139,81252,81252,16424,0.016,0.077,0.0267,0.0083,0.2487,0.8022
pytorch_pytorch,59554,276846,62087485,276846,276846,24321,0.0249,0.04,0.0121,0.0052,0.0799,0.5147
elastic_elasticsearch,55766,891869,86119759,891869,891869,22142,0.0054,0.021,0.0073,0.0029,0.0574,0.2443
git_git,56145,164220,31987799,164219,164219,25491,0.0683,0.211,0.0793,0.0146,0.4621,0.8107
vercel_next.js,11433,85518,13180777,85518,85518,15283,0.0175,0.03,0.0153,0.003,0.1096,0.4215
angular_angular,19464,151904,12018164,151904,151904,15933,0.0266,0.077,0.0277,0.0059,0.1991,0.5092
apollographql_apollo-client,5699,25561,1109356,25561,25561,8981,0.0739,0.104,0.0629,0.0167,0.253,0.805
mastodon_mastodon,8116,34388,1981038,34388,34388,12129,0.0334,0.087,0.0417,0.0148,0.2094,0.7145
tryghost_ghost,22287,94766,8164208,94766,94766,15785,0.0285,0.084,0.0215,0.0046,0.2467,0.6479
parcel-bundler_parcel,2506,17958,866249,17958,17958,5653,0.0491,0.097,0.0402,0.0105,0.2781,0.5997
ant-design_ant-design,12822,75602,5560427,75602,75602,8250,0.0428,0.079,0.0262,0.0037,0.1924,0.5234
vercel_hyper,1028,3090,155577,3090,3090,3967,0.0465,0.079,0.0365,0.0151,0.275,0.8996
ytdl-org_youtube-dl,17211,26256,635668,26256,26256,10566,0.1216,0.336,0.1488,0.0458,0.5989,0.915
